Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.15153	#E16273	Lee Filters	Smokey Pink	127
410	0.14869				
415	0.14756				
420	0.14359				
425	0.13488				
430	0.1278				
435	0.12192				
440	0.11486				
445	0.10657				
450	0.09914999999999999				
455	0.09359999999999999				
460	0.08828				
465	0.08276				
470	0.07812000000000001				
475	0.07541				
480	0.07485				
485	0.07446				
490	0.0732				
495	0.07099				
500	0.06941				
505	0.06988				
510	0.07197				
515	0.07395				
520	0.07487				
525	0.07516				
530	0.07597000000000001				
535	0.07626000000000001				
540	0.07429000000000001				
545	0.06933				
550	0.061130000000000004				
555	0.05256				
560	0.04617				
565	0.044649999999999995				
570	0.049089999999999995				
575	0.0604				
580	0.0788				
585	0.10059				
590	0.12394				
595	0.1467				
600	0.16533				
605	0.17974				
610	0.18966999999999998				
615	0.19555				
620	0.19922				
625	0.20538				
630	0.21983				
635	0.24535				
640	0.28429				
645	0.33502000000000004				
650	0.39146000000000003				
655	0.44923				
660	0.50441				
665	0.55279				
670	0.59649				
675	0.63601				
680	0.6696				
685	0.6992400000000001				
690	0.7310500000000001				
695	0.75881				
700	0.79303				
705	0.8080700000000001				
710	0.82099				
715	0.8321				
720	0.84165				
725	0.84985				
730	0.8569				
735	0.8629600000000001				
740	0.8681699999999999				
745	0.87264				
750	0.87649				
755	0.8798				
760	0.88264				
765	0.88508				
770	0.8871800000000001				
775	0.88898				
780	0.8905299999999999				
785	0.8918600000000001				
790	0.893				
795	0.8939900000000001				
800	0.89467				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
