Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.69767	#C8B4E6	Lee Filters	Special Lavender	137
410	0.69845				
415	0.73714				
420	0.77561				
425	0.7723399999999999				
430	0.77404				
435	0.8070499999999999				
440	0.8303100000000001				
445	0.82635				
450	0.8057				
455	0.8025				
460	0.79793				
465	0.7862600000000001				
470	0.7627200000000001				
475	0.7421099999999999				
480	0.7207399999999999				
485	0.68659				
490	0.65132				
495	0.61608				
500	0.58543				
505	0.54782				
510	0.49992				
515	0.45082				
520	0.40903				
525	0.37655				
530	0.34819				
535	0.31832				
540	0.28344				
545	0.2465				
550	0.21173999999999998				
555	0.18297999999999998				
560	0.16396999999999998				
565	0.15652				
570	0.15826				
575	0.16774999999999998				
580	0.18343				
585	0.20424				
590	0.23279				
595	0.25777				
600	0.27651				
605	0.28315999999999997				
610	0.27474				
615	0.25727				
620	0.23971				
625	0.2322				
630	0.2433				
635	0.2775				
640	0.3393				
645	0.42154				
650	0.52015				
655	0.6168399999999999				
660	0.70269				
665	0.76429				
670	0.80681				
675	0.8294799999999999				
680	0.8442700000000001				
685	0.85874				
690	0.8748600000000001				
695	0.8852899999999999				
700	0.89779				
705	0.8981				
710	0.89837				
715	0.8986				
720	0.8987900000000001				
725	0.89896				
730	0.89911				
735	0.89923				
740	0.89934				
745	0.89943				
750	0.8995099999999999				
755	0.8995799999999999				
760	0.89964				
765	0.89969				
770	0.89974				
775	0.8997700000000001				
780	0.8998				
785	0.89983				
790	0.89986				
795	0.89988				
800	0.8998900000000001				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
