Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.25872	#64BED2	Lee Filters	Pale Navy Blue	143
410	0.273				
415	0.29372				
420	0.31681000000000004				
425	0.32799999999999996				
430	0.34014000000000005				
435	0.36623				
440	0.39197000000000004				
445	0.40398				
450	0.41118000000000005				
455	0.42808				
460	0.44571				
465	0.45530000000000004				
470	0.45384				
475	0.45025				
480	0.44523				
485	0.43231				
490	0.41889000000000004				
495	0.40487				
500	0.38856				
505	0.36723				
510	0.34147				
515	0.31329				
520	0.28678000000000003				
525	0.25911				
530	0.22976				
535	0.20173				
540	0.17800999999999997				
545	0.15852				
550	0.14331				
555	0.12841				
560	0.11141				
565	0.09352				
570	0.07738				
575	0.06509999999999999				
580	0.05832				
585	0.05573				
590	0.05627				
595	0.05621				
600	0.05331				
605	0.048479999999999995				
610	0.042809999999999994				
615	0.0378				
620	0.03408				
625	0.03281				
630	0.03527				
635	0.04229				
640	0.05532				
645	0.07285				
650	0.09180999999999999				
655	0.10381				
660	0.10343999999999999				
665	0.09409000000000001				
670	0.08968				
675	0.09476000000000001				
680	0.11559				
685	0.16078				
690	0.23315000000000002				
695	0.31811				
700	0.40615				
705	0.47558				
710	0.53525				
715	0.5865400000000001				
720	0.63061				
725	0.66848				
730	0.7010299999999999				
735	0.7290099999999999				
740	0.7530500000000001				
745	0.7737099999999999				
750	0.79146				
755	0.80672				
760	0.8198399999999999				
765	0.83111				
770	0.8407899999999999				
775	0.8491200000000001				
780	0.85627				
785	0.8624200000000001				
790	0.8676999999999999				
795	0.87224				
800	0.87541				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
