Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.55149	#5AE1E6	Lee Filters	No Colour Blue	144
410	0.5827				
415	0.61283				
420	0.6642600000000001				
425	0.70312				
430	0.7120799999999999				
435	0.7265600000000001				
440	0.7632099999999999				
445	0.79868				
450	0.797				
455	0.77527				
460	0.77185				
465	0.79431				
470	0.80782				
475	0.79269				
480	0.76382				
485	0.73969				
490	0.73612				
495	0.73331				
500	0.71233				
505	0.6778799999999999				
510	0.64044				
515	0.61181				
520	0.58857				
525	0.55863				
530	0.51798				
535	0.47273000000000004				
540	0.42963				
545	0.39475				
550	0.3654				
555	0.33357				
560	0.29248				
565	0.24773				
570	0.20418				
575	0.17031				
580	0.14721				
585	0.13396				
590	0.12603				
595	0.11774				
600	0.10504				
605	0.09117000000000001				
610	0.07806				
615	0.06705				
620	0.05914				
625	0.05595				
630	0.057069999999999996				
635	0.06408				
640	0.07633				
645	0.09125				
650	0.10493999999999999				
655	0.11004				
660	0.10462999999999999				
665	0.09401999999999999				
670	0.09028				
675	0.09232				
680	0.10507				
685	0.13526				
690	0.18167000000000003				
695	0.23509				
700	0.29044000000000003				
705	0.37614				
710	0.44978999999999997				
715	0.5130899999999999				
720	0.56749				
725	0.61424				
730	0.65441				
735	0.6889400000000001				
740	0.7186199999999999				
745	0.7441200000000001				
750	0.76603				
755	0.78487				
760	0.80106				
765	0.81497				
770	0.8269199999999999				
775	0.8371999999999999				
780	0.84603				
785	0.8536100000000001				
790	0.8601399999999999				
795	0.86574				
800	0.86965				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
