Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.010249999999999999	#FF8700	Lee Filters	Deep Orange	158
410	0.00967				
415	0.009210000000000001				
420	0.00871				
425	0.008060000000000001				
430	0.00724				
435	0.00625				
440	0.005180000000000001				
445	0.0042699999999999995				
450	0.0034899999999999996				
455	0.0028000000000000004				
460	0.00221				
465	0.0017599999999999998				
470	0.0014399999999999999				
475	0.00127				
480	0.00115				
485	0.00111				
490	0.00117				
495	0.00134				
500	0.0017299999999999998				
505	0.00243				
510	0.00362				
515	0.00519				
520	0.006889999999999999				
525	0.009260000000000001				
530	0.01437				
535	0.026600000000000002				
540	0.054669999999999996				
545	0.10618999999999999				
550	0.17643999999999999				
555	0.24526				
560	0.30269999999999997				
565	0.35501				
570	0.41625999999999996				
575	0.48337				
580	0.54817				
585	0.5974900000000001				
590	0.64334				
595	0.69281				
600	0.73881				
605	0.77448				
610	0.79226				
615	0.79577				
620	0.8000799999999999				
625	0.8092199999999999				
630	0.82345				
635	0.8334600000000001				
640	0.84095				
645	0.8370099999999999				
650	0.8308				
655	0.8309000000000001				
660	0.8318000000000001				
665	0.83541				
670	0.84313				
675	0.84962				
680	0.85319				
685	0.8544799999999999				
690	0.8594499999999999				
695	0.86578				
700	0.86871				
705	0.87311				
710	0.87689				
715	0.8801399999999999				
720	0.8829300000000001				
725	0.8853300000000001				
730	0.88739				
735	0.88917				
740	0.89069				
745	0.892				
750	0.89312				
755	0.89409				
760	0.89492				
765	0.8956399999999999				
770	0.89625				
775	0.89678				
780	0.89723				
785	0.89762				
790	0.89795				
795	0.8982399999999999				
800	0.8984399999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
