Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.4543	#A064E6	Lee Filters	Dark Lavender	180
410	0.47582				
415	0.49823999999999996				
420	0.54041				
425	0.5758				
430	0.60023				
435	0.62897				
440	0.64845				
445	0.64468				
450	0.63079				
455	0.60973				
460	0.57618				
465	0.5366599999999999				
470	0.50262				
475	0.46262000000000003				
480	0.41179000000000004				
485	0.35792				
490	0.31006				
495	0.26329				
500	0.21329				
505	0.16417				
510	0.12591				
515	0.09781000000000001				
520	0.07855000000000001				
525	0.06312000000000001				
530	0.04899				
535	0.03636				
540	0.02622				
545	0.01883				
550	0.013819999999999999				
555	0.01087				
560	0.00935				
565	0.00901				
570	0.00964				
575	0.01118				
580	0.01451				
585	0.02038				
590	0.03011				
595	0.04293				
600	0.0548				
605	0.059660000000000005				
610	0.05628999999999999				
615	0.04824				
620	0.040670000000000005				
625	0.03725				
630	0.0405				
635	0.05376				
640	0.08465				
645	0.14156000000000002				
650	0.23129999999999998				
655	0.34739				
660	0.47252000000000005				
665	0.5857600000000001				
670	0.6812699999999999				
675	0.7526600000000001				
680	0.7989799999999999				
685	0.8259399999999999				
690	0.84116				
695	0.8479000000000001				
700	0.8530200000000001				
705	0.85311				
710	0.8532899999999999				
715	0.8536100000000001				
720	0.85418				
725	0.8552				
730	0.8569499999999999				
735	0.8598300000000001				
740	0.86421				
745	0.87018				
750	0.8771599999999999				
755	0.88402				
760	0.88969				
765	0.89376				
770	0.8963800000000001				
775	0.89795				
780	0.89886				
785	0.89937				
790	0.8996500000000001				
795	0.89981				
800	0.89988				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
