Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.53388	#EEEDD8	Lee Filters	Cosmetic Silver Moss	189
410	0.5195799999999999				
415	0.50758				
420	0.49692000000000003				
425	0.48789				
430	0.48259				
435	0.48119999999999996				
440	0.48625				
445	0.49412				
450	0.50214				
455	0.51607				
460	0.53315				
465	0.55498				
470	0.58153				
475	0.60925				
480	0.63772				
485	0.65741				
490	0.6722400000000001				
495	0.68345				
500	0.68766				
505	0.6899299999999999				
510	0.69082				
515	0.69116				
520	0.69271				
525	0.69394				
530	0.6978300000000001				
535	0.69916				
540	0.69867				
545	0.6991700000000001				
550	0.6992499999999999				
555	0.70024				
560	0.7008				
565	0.70222				
570	0.70505				
575	0.70592				
580	0.70919				
585	0.70474				
590	0.70371				
595	0.7010599999999999				
600	0.69686				
605	0.69255				
610	0.69326				
615	0.6996899999999999				
620	0.7011				
625	0.70223				
630	0.7047100000000001				
635	0.70309				
640	0.70301				
645	0.70097				
650	0.7000799999999999				
655	0.695				
660	0.68297				
665	0.66636				
670	0.6529				
675	0.64899				
680	0.65363				
685	0.66961				
690	0.69246				
695	0.71262				
700	0.72964				
705	0.7299899999999999				
710	0.73063				
715	0.73179				
720	0.73387				
725	0.73756				
730	0.7439100000000001				
735	0.75434				
740	0.77024				
745	0.79188				
750	0.8172				
755	0.84206				
760	0.86263				
765	0.87737				
770	0.8868600000000001				
775	0.8925700000000001				
780	0.89587				
785	0.8977200000000001				
790	0.89875				
795	0.89932				
800	0.8995799999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
