Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.31437000000000004	#6464E6	Lee Filters	Regal Blue	199
410	0.38181				
415	0.42729999999999996				
420	0.47192999999999996				
425	0.5210199999999999				
430	0.5489200000000001				
435	0.57101				
440	0.5985499999999999				
445	0.62332				
450	0.60881				
455	0.57602				
460	0.55058				
465	0.53096				
470	0.4991				
475	0.44986				
480	0.39814				
485	0.34970999999999997				
490	0.30532				
495	0.2587				
500	0.21059				
505	0.16488				
510	0.12297000000000001				
515	0.08821				
520	0.063				
525	0.04569				
530	0.034300000000000004				
535	0.025830000000000002				
540	0.01838				
545	0.01176				
550	0.006860000000000001				
555	0.00392				
560	0.00255				
565	0.0021				
570	0.00231				
575	0.0032400000000000003				
580	0.005430000000000001				
585	0.00942				
590	0.016319999999999998				
595	0.025470000000000003				
600	0.032780000000000004				
605	0.03472				
610	0.03207				
615	0.027559999999999998				
620	0.02335				
625	0.021230000000000002				
630	0.02234				
635	0.028239999999999998				
640	0.04179				
645	0.06554				
650	0.09910999999999999				
655	0.13472				
660	0.15647				
665	0.15532				
670	0.14532				
675	0.14242000000000002				
680	0.15268				
685	0.18508				
690	0.25037				
695	0.34301000000000004				
700	0.43998				
705	0.50466				
710	0.56024				
715	0.60801				
720	0.6490600000000001				
725	0.68434				
730	0.71466				
735	0.74072				
740	0.7631100000000001				
745	0.78236				
750	0.7989				
755	0.8131100000000001				
760	0.82533				
765	0.83583				
770	0.84485				
775	0.8526				
780	0.8592700000000001				
785	0.8649899999999999				
790	0.86992				
795	0.8741500000000001				
800	0.8771				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
