Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.38537	#FCD9B1	Lee Filters	Half C.T. Orange	205
410	0.39937				
415	0.40743				
420	0.41115				
425	0.4132				
430	0.41466000000000003				
435	0.41389000000000004				
440	0.40814999999999996				
445	0.40109				
450	0.3961				
455	0.39911				
460	0.41347				
465	0.43267000000000005				
470	0.45368				
475	0.47094				
480	0.4863				
485	0.5060199999999999				
490	0.52928				
495	0.56168				
500	0.5931000000000001				
505	0.61815				
510	0.62934				
515	0.63158				
520	0.6299199999999999				
525	0.63471				
530	0.6484300000000001				
535	0.6672100000000001				
540	0.68906				
545	0.71024				
550	0.72649				
555	0.73366				
560	0.73836				
565	0.73803				
570	0.7435299999999999				
575	0.7601600000000001				
580	0.77995				
585	0.8022199999999999				
590	0.82718				
595	0.8514400000000001				
600	0.86698				
605	0.87981				
610	0.8824299999999999				
615	0.87965				
620	0.8812099999999999				
625	0.88447				
630	0.8848199999999999				
635	0.8931699999999999				
640	0.90033				
645	0.9070999999999999				
650	0.9108799999999999				
655	0.9167400000000001				
660	0.91961				
665	0.91764				
670	0.9174800000000001				
675	0.91786				
680	0.91994				
685	0.9222499999999999				
690	0.9220999999999999				
695	0.9265000000000001				
700	0.92735				
705	0.9235				
710	0.9201999999999999				
715	0.9173600000000001				
720	0.9149200000000001				
725	0.91282				
730	0.91102				
735	0.90947				
740	0.90814				
745	0.90699				
750	0.90601				
755	0.9051699999999999				
760	0.90444				
765	0.9038200000000001				
770	0.9032800000000001				
775	0.90282				
780	0.90242				
785	0.90208				
790	0.90179				
795	0.90154				
800	0.9013599999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
