Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.35818	#CDF5AF	Lee Filters	LEE Fluorescent 3600 Kelvin	243
410	0.36625				
415	0.36843000000000004				
420	0.36272				
425	0.36347999999999997				
430	0.37423				
435	0.37899				
440	0.36988				
445	0.36383000000000004				
450	0.37426000000000004				
455	0.39725				
460	0.42277000000000003				
465	0.44316				
470	0.46775				
475	0.49932000000000004				
480	0.54267				
485	0.58361				
490	0.62265				
495	0.6611400000000001				
500	0.69624				
505	0.7193999999999999				
510	0.72139				
515	0.71391				
520	0.70741				
525	0.7138				
530	0.7268899999999999				
535	0.72191				
540	0.68946				
545	0.64066				
550	0.58921				
555	0.54728				
560	0.5248700000000001				
565	0.51641				
570	0.51844				
575	0.51879				
580	0.50985				
585	0.48887				
590	0.46073000000000003				
595	0.42901000000000006				
600	0.39446				
605	0.36625				
610	0.34784				
615	0.33627				
620	0.32813000000000003				
625	0.32555				
630	0.32789				
635	0.33569000000000004				
640	0.34337				
645	0.34841				
650	0.34271999999999997				
655	0.32353000000000004				
660	0.28803999999999996				
665	0.25333				
670	0.23974				
675	0.24278				
680	0.272				
685	0.33082				
690	0.40728000000000003				
695	0.48689				
700	0.55752				
705	0.60567				
710	0.64705				
715	0.68262				
720	0.7131799999999999				
725	0.73944				
730	0.76202				
735	0.78142				
740	0.79809				
745	0.81242				
750	0.82473				
755	0.8353100000000001				
760	0.84441				
765	0.85222				
770	0.85894				
775	0.8647100000000001				
780	0.86968				
785	0.87394				
790	0.8776				
795	0.88075				
800	0.88295				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
