Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.36401000000000006	#AAD2F0	Lee Filters	Cornflower	366
410	0.39537999999999995				
415	0.41136				
420	0.41493				
425	0.43658				
430	0.46569000000000005				
435	0.47857999999999995				
440	0.47117				
445	0.47334000000000004				
450	0.48664				
455	0.49290999999999996				
460	0.48538				
465	0.48188000000000003				
470	0.48840000000000006				
475	0.49904000000000004				
480	0.49866999999999995				
485	0.48532				
490	0.46759				
495	0.44954				
500	0.42790999999999996				
505	0.39759				
510	0.35917				
515	0.31742000000000004				
520	0.27917000000000003				
525	0.2444				
530	0.2139				
535	0.18434999999999999				
540	0.15639				
545	0.12954000000000002				
550	0.10348				
555	0.08109999999999999				
560	0.06579				
565	0.0575				
570	0.055330000000000004				
575	0.05803				
580	0.06514				
585	0.0761				
590	0.09029999999999999				
595	0.10253999999999999				
600	0.10688				
605	0.10236				
610	0.09221				
615	0.08067				
620	0.07110999999999999				
625	0.06702				
630	0.07105				
635	0.0858				
640	0.11425				
645	0.155				
650	0.20104				
655	0.23514				
660	0.24231000000000003				
665	0.22841999999999998				
670	0.22100999999999998				
675	0.22498				
680	0.24869				
685	0.30495				
690	0.39049				
695	0.48202				
700	0.56508				
705	0.61217				
710	0.65264				
715	0.68741				
720	0.7173				
725	0.74299				
730	0.76506				
735	0.78404				
740	0.80034				
745	0.81435				
750	0.82639				
755	0.83674				
760	0.84564				
765	0.85328				
770	0.85985				
775	0.8654900000000001				
780	0.8703400000000001				
785	0.8745099999999999				
790	0.8781				
795	0.88118				
800	0.88333				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
