Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.27372	#5A91D2	Lee Filters	Elysian Blue	714
410	0.31089				
415	0.3448				
420	0.37634				
425	0.40424				
430	0.43441				
435	0.46734000000000003				
440	0.48819				
445	0.5006499999999999				
450	0.50732				
455	0.509				
460	0.50318				
465	0.48968000000000006				
470	0.47087				
475	0.44595999999999997				
480	0.41814				
485	0.38154000000000005				
490	0.34258000000000005				
495	0.30185				
500	0.25942				
505	0.2159				
510	0.17268				
515	0.13423				
520	0.10342000000000001				
525	0.08102999999999999				
530	0.06434000000000001				
535	0.050179999999999995				
540	0.03744				
545	0.02604				
550	0.01684				
555	0.010709999999999999				
560	0.0074399999999999996				
565	0.00628				
570	0.00647				
575	0.00769				
580	0.009899999999999999				
585	0.01276				
590	0.016200000000000003				
595	0.01875				
600	0.01919				
605	0.01752				
610	0.014990000000000002				
615	0.01253				
620	0.01052				
625	0.00961				
630	0.010029999999999999				
635	0.012410000000000001				
640	0.01755				
645	0.02563				
650	0.03583				
655	0.04423				
660	0.04629				
665	0.04244				
670	0.03999				
675	0.04095				
680	0.04650000000000001				
685	0.06315				
690	0.09666000000000001				
695	0.14606				
700	0.20256				
705	0.30062				
710	0.38488999999999995				
715	0.45731				
720	0.51955				
725	0.57304				
730	0.6190100000000001				
735	0.65851				
740	0.69247				
745	0.7216400000000001				
750	0.7467199999999999				
755	0.76827				
760	0.78679				
765	0.80271				
770	0.81639				
775	0.8281399999999999				
780	0.83825				
785	0.84693				
790	0.85439				
795	0.8608				
800	0.86528				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
