Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.15469	#008CD2	Lee Filters	Bray Blue	722
410	0.19084				
415	0.22734000000000001				
420	0.26710999999999996				
425	0.3048				
430	0.34999				
435	0.40515				
440	0.43924				
445	0.45303				
450	0.46435000000000004				
455	0.47255				
460	0.46122				
465	0.44488				
470	0.43036				
475	0.41226				
480	0.38107				
485	0.33844				
490	0.29601				
495	0.25591				
500	0.21864				
505	0.18361999999999998				
510	0.15132				
515	0.1202				
520	0.0891				
525	0.06168				
530	0.04088				
535	0.027370000000000002				
540	0.01935				
545	0.014459999999999999				
550	0.01073				
555	0.0072699999999999996				
560	0.00418				
565	0.00209				
570	0.001				
575	0.00055				
580	0.00033				
585	0.00027				
590	0.00026				
595	0.00027				
600	0.00025				
605	0.00018999999999999998				
610	0.00013				
615	0.0001				
620	0.0001				
625	0.0001				
630	0.0001				
635	0.00010999999999999999				
640	0.00024				
645	0.0005899999999999999				
650	0.0014299999999999998				
655	0.0027400000000000002				
660	0.00376				
665	0.004				
670	0.00406				
675	0.00452				
680	0.00604				
685	0.01031				
690	0.021240000000000002				
695	0.0431				
700	0.07863				
705	0.19411				
710	0.29336				
715	0.37865000000000004				
720	0.45195				
725	0.51494				
730	0.56908				
735	0.6156				
740	0.65559				
745	0.6899500000000001				
750	0.7194799999999999				
755	0.7448600000000001				
760	0.76667				
765	0.78542				
770	0.8015300000000001				
775	0.81537				
780	0.8272700000000001				
785	0.8375				
790	0.84628				
795	0.85384				
800	0.85911				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
