Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.29792	#5082DC	Lee Filters	Virgin Blue	723
410	0.33482999999999996				
415	0.36502				
420	0.38592				
425	0.4105				
430	0.44384999999999997				
435	0.46579				
440	0.47905000000000003				
445	0.49506999999999995				
450	0.50237				
455	0.48854				
460	0.47689				
465	0.46902				
470	0.45071				
475	0.41302				
480	0.38075000000000003				
485	0.35125999999999996				
490	0.31877				
495	0.27488				
500	0.22859000000000002				
505	0.18486				
510	0.14835				
515	0.11893000000000001				
520	0.09783				
525	0.08127000000000001				
530	0.06677				
535	0.05289				
540	0.038759999999999996				
545	0.026709999999999998				
550	0.01845				
555	0.01381				
560	0.01194				
565	0.012119999999999999				
570	0.01398				
575	0.01713				
580	0.021330000000000002				
585	0.02582				
590	0.02928				
595	0.03				
600	0.027280000000000002				
605	0.023370000000000002				
610	0.020059999999999998				
615	0.01736				
620	0.01564				
625	0.01492				
630	0.01577				
635	0.0183				
640	0.0226				
645	0.02754				
650	0.031200000000000002				
655	0.03039				
660	0.024849999999999997				
665	0.01874				
670	0.01637				
675	0.01649				
680	0.02052				
685	0.03334				
690	0.06105000000000001				
695	0.10629				
700	0.16382000000000002				
705	0.26732				
710	0.35627000000000003				
715	0.43272				
720	0.49842				
725	0.55488				
730	0.6034				
735	0.6451				
740	0.68094				
745	0.71174				
750	0.73821				
755	0.76095				
760	0.7805				
765	0.7973				
770	0.81174				
775	0.82415				
780	0.8348099999999999				
785	0.84398				
790	0.8518600000000001				
795	0.8586199999999999				
800	0.86335				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
