Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.00265	#00BE78	Lee Filters	Velvet Green	735
410	0.0034599999999999995				
415	0.00378				
420	0.0038900000000000002				
425	0.00394				
430	0.00393				
435	0.00446				
440	0.00551				
445	0.00709				
450	0.00942				
455	0.01276				
460	0.01799				
465	0.027759999999999996				
470	0.04617				
475	0.08018				
480	0.13497				
485	0.21126999999999999				
490	0.29664999999999997				
495	0.36310000000000003				
500	0.40252000000000004				
505	0.42192999999999997				
510	0.4102				
515	0.37718				
520	0.33635				
525	0.28702				
530	0.23061				
535	0.17681999999999998				
540	0.12713				
545	0.08431				
550	0.04962				
555	0.025750000000000002				
560	0.011439999999999999				
565	0.00442				
570	0.0015199999999999999				
575	0.00052				
580	0.00013				
585	0.0001				
590	0.0001				
595	0.0001				
600	0.0001				
605	0.0001				
610	0.0001				
615	0.0001				
620	0.0001				
625	0.0001				
630	0.0001				
635	0.0001				
640	0.0001				
645	0.0001				
650	0.0001				
655	0.0001				
660	0.0001				
665	0.0001				
670	0.0001				
675	0.0001				
680	0.0001				
685	0.0001				
690	0.0001				
695	0.0001				
700	0.00233				
705	0.00417				
710	0.00753				
715	0.013640000000000001				
720	0.02461				
725	0.04402999999999999				
730	0.07748000000000001				
735	0.13247				
740	0.21627				
745	0.33029000000000003				
750	0.46368000000000004				
755	0.59471				
760	0.7031100000000001				
765	0.78074				
770	0.83077				
775	0.86087				
780	0.87822				
785	0.8879900000000001				
790	0.8934099999999999				
795	0.8963899999999999				
800	0.89777				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
