Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.39592	#FCC5B2	Lee Filters	Cardbox Amber	773
410	0.39168				
415	0.39226				
420	0.38966				
425	0.38874000000000003				
430	0.38946				
435	0.38742				
440	0.38127				
445	0.37113999999999997				
450	0.36583				
455	0.36246				
460	0.35336				
465	0.34265				
470	0.33222				
475	0.32651				
480	0.32654000000000005				
485	0.32704				
490	0.32659999999999995				
495	0.32341000000000003				
500	0.31981000000000004				
505	0.32195				
510	0.33037				
515	0.34769				
520	0.37069				
525	0.38965000000000005				
530	0.40496000000000004				
535	0.41351999999999994				
540	0.4266				
545	0.44718				
550	0.4851				
555	0.5411				
560	0.60833				
565	0.67413				
570	0.73076				
575	0.7734300000000001				
580	0.81093				
585	0.83954				
590	0.85539				
595	0.8680100000000001				
600	0.86989				
605	0.86859				
610	0.8657299999999999				
615	0.87198				
620	0.8793099999999999				
625	0.88375				
630	0.8911199999999999				
635	0.89366				
640	0.8894799999999999				
645	0.88382				
650	0.87055				
655	0.8587600000000001				
660	0.8397				
665	0.8111700000000001				
670	0.79337				
675	0.7920699999999999				
680	0.80521				
685	0.83997				
690	0.86745				
695	0.89126				
700	0.902				
705	0.90199				
710	0.9019799999999999				
715	0.90197				
720	0.9019499999999999				
725	0.9018999999999999				
730	0.90183				
735	0.90171				
740	0.90152				
745	0.9012699999999999				
750	0.9009699999999999				
755	0.9006799999999999				
760	0.90044				
765	0.90027				
770	0.90015				
775	0.9000900000000001				
780	0.9000499999999999				
785	0.90003				
790	0.9000100000000001				
795	0.9000100000000001				
800	0.9				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
