Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.013839999999999998	#FF7600	Lee Filters	Millennium Gold	778
410	0.012969999999999999				
415	0.012390000000000002				
420	0.01183				
425	0.01102				
430	0.00974				
435	0.00848				
440	0.00712				
445	0.00599				
450	0.00502				
455	0.00421				
460	0.0036				
465	0.00314				
470	0.0028699999999999997				
475	0.00269				
480	0.00261				
485	0.0025900000000000003				
490	0.00271				
495	0.00307				
500	0.00378				
505	0.0049				
510	0.00622				
515	0.00752				
520	0.009000000000000001				
525	0.011399999999999999				
530	0.01684				
535	0.02801				
540	0.04806				
545	0.0748				
550	0.10101				
555	0.12175000000000001				
560	0.14254				
565	0.17265999999999998				
570	0.22729				
575	0.31656				
580	0.43659				
585	0.55286				
590	0.6462				
595	0.70707				
600	0.74684				
605	0.77205				
610	0.7823				
615	0.78768				
620	0.7933				
625	0.80444				
630	0.81582				
635	0.8325100000000001				
640	0.83722				
645	0.83477				
650	0.82706				
655	0.82556				
660	0.83259				
665	0.8457899999999999				
670	0.8628199999999999				
675	0.86964				
680	0.87238				
685	0.86566				
690	0.85776				
695	0.85587				
700	0.85804				
705	0.8581300000000001				
710	0.8582899999999999				
715	0.8585699999999999				
720	0.85909				
725	0.8599899999999999				
730	0.8615600000000001				
735	0.86413				
740	0.86804				
745	0.87337				
750	0.87961				
755	0.8857299999999999				
760	0.8908				
765	0.89443				
770	0.89676				
775	0.8981699999999999				
780	0.89898				
785	0.89944				
790	0.89969				
795	0.89983				
800	0.8998999999999999				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
