Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.33591	#A000BE	Lee Filters	Chrysalis Pink	798
410	0.36632				
415	0.39125				
420	0.41661000000000004				
425	0.44686				
430	0.48003				
435	0.5032				
440	0.51615				
445	0.51681				
450	0.5003				
455	0.46598				
460	0.42729999999999996				
465	0.38327				
470	0.33462000000000003				
475	0.28395				
480	0.23367000000000002				
485	0.1873				
490	0.14685				
495	0.1099				
500	0.07701				
505	0.04972000000000001				
510	0.03058				
515	0.01902				
520	0.012889999999999999				
525	0.00958				
530	0.00747				
535	0.005659999999999999				
540	0.00395				
545	0.00242				
550	0.0013700000000000001				
555	0.00079				
560	0.00057				
565	0.00052				
570	0.00065				
575	0.00104				
580	0.00211				
585	0.00434				
590	0.00923				
595	0.01775				
600	0.02771				
605	0.03405				
610	0.03396				
615	0.030059999999999996				
620	0.025840000000000002				
625	0.024329999999999997				
630	0.0276				
635	0.038900000000000004				
640	0.06536				
645	0.11663				
650	0.20219				
655	0.31723				
660	0.44712				
665	0.56724				
670	0.66521				
675	0.7417				
680	0.79752				
685	0.8378700000000001				
690	0.86774				
695	0.88905				
700	0.8991899999999999				
705	0.8991899999999999				
710	0.8992				
715	0.8992				
720	0.8992100000000001				
725	0.89923				
730	0.8992600000000001				
735	0.8993099999999999				
740	0.8993800000000001				
745	0.89949				
750	0.89961				
755	0.89973				
760	0.89982				
765	0.8998900000000001				
770	0.89994				
775	0.89996				
780	0.89998				
785	0.89999				
790	0.89999				
795	0.9				
800	0.9				
805	0.9				
810	0.9				
815	0.9				
820	0.9				
825	0.9				
830	0.9				
835	0.9				
840	0.9				
845	0.9				
850	0.9				
855	0.9				
860	0.9				
865	0.9				
870	0.9				
875	0.9				
880	0.9				
885	0.9				
890	0.9				
895	0.9				
900	0.9				
905	0.9				
910	0.9				
915	0.9				
920	0.9				
925	0.9				
930	0.9				
935	0.9				
940	0.9				
945	0.9				
950	0.9				
955	0.9				
960	0.9				
965	0.9				
970	0.9				
975	0.9				
980	0.9				
985	0.9				
990	0.9				
995	0.9				
1000	0.9				
1005	0.9				
1010	0.9				
1015	0.9				
1020	0.9				
1025	0.9				
1030	0.9				
1035	0.9				
1040	0.9				
1045	0.9				
1050	0.9				
1055	0.9				
1060	0.9				
1065	0.9				
1070	0.9				
1075	0.9				
1080	0.9				
1085	0.9				
1090	0.9				
1095	0.9				
1100	0.9				
