Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
900	0.248	#a3706f	MidOpt	Acrylic Short-Wave A/R Coated Infrared Longpass Filter	AC915
910	0.391				
920	0.5075999999999999				
930	0.5920000000000001				
940	0.6448999999999999				
950	0.6784				
960	0.7042				
970	0.7195				
980	0.7332				
990	0.7439				
1000	0.754				
1010	0.7625				
1020	0.7739				
1030	0.7826000000000001				
1040	0.7920999999999999				
1050	0.8026000000000001				
1060	0.8103				
1070	0.8209000000000001				
1080	0.8271999999999999				
1090	0.8371				
1100	0.8432999999999999				
1110	0.8477				
1120	0.851				
1130	0.8445				
1140	0.8434				
1150	0.8334				
1160	0.8295				
1170	0.8159000000000001				
1180	0.8337				
1190	0.8590000000000001				
1200	0.8815999999999999				
1210	0.905				
1220	0.9136				
1230	0.9289000000000001				
1240	0.9329999999999999				
1250	0.9387000000000001				
1260	0.9483				
1270	0.9488				
1280	0.9541				
1290	0.9593				
1300	0.9597				
1310	0.9636				
1320	0.9645999999999999				
1330	0.9561				
1340	0.9259000000000001				
1350	0.9003				
1360	0.8904000000000001				
1370	0.8762000000000001				
1380	0.8797				
1390	0.8801000000000001				
1400	0.8879				
1410	0.888				
1420	0.8835999999999999				
1430	0.89				
1440	0.9053				
1450	0.9284				
1460	0.9448000000000001				
1470	0.9520000000000001				
1480	0.9595				
1490	0.9665				
1500	0.9708				
1510	0.9738				
1520	0.9754999999999999				
1530	0.9754999999999999				
1540	0.9747				
1550	0.9732999999999999				
1560	0.9722				
1570	0.9687				
1580	0.9640000000000001				
1590	0.9593				
1600	0.9545				
1610	0.9459000000000001				
1620	0.9277				
1630	0.9146				
1640	0.8998				
1650	0.8473				
1660	0.7093				
1670	0.5926				
1680	0.5065999999999999				
1690	0.5689				
1700	0.5814				
1710	0.5853				
1720	0.5872999999999999				
1730	0.6119				
1740	0.6546				
1750	0.7045999999999999				
1760	0.7459				
1770	0.762				
1780	0.7495				
1790	0.7629				
1800	0.7978000000000001				
1810	0.8222				
1820	0.8305				
1830	0.8297				
1840	0.8227				
1850	0.8165				
1860	0.8120999999999999				
1870	0.8158				
1880	0.7947				
1890	0.7265				
1900	0.5928				
1910	0.5356000000000001				
1920	0.6222				
1930	0.7129000000000001				
1940	0.7229000000000001				
1950	0.7193				
1960	0.7522				
1970	0.7948000000000001				
1980	0.8061				
1990	0.8177				
2000	0.8173				
2010	0.8084				
2020	0.7998000000000001				
2030	0.7923				
2040	0.7935				
2050	0.7809999999999999				
2060	0.7733				
2070	0.7591				
2080	0.7379000000000001				
2090	0.7066				
2100	0.6409				
2110	0.5661999999999999				
2120	0.5559000000000001				
2130	0.5052				
2140	0.4743				
2150	0.5356000000000001				
2160	0.5577000000000001				
2170	0.5583				
2180	0.5222				
2190	0.4744				
2200	0.4191				
2210	0.3184				
2220	0.1568				
2230	0.0437				
2240	0.009300000000000001				
2250	0.0015				
2260	-0.0005				
2270	0.0063				
2280	0.0053				
2290	0.0155				
2300	0.0222				
