Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#4B0082	MidOpt	Narrow Indigo Bandpass Filter	BN450
360	0.0				
370	0.0				
380	0.0001				
390	0.0007000000000000001				
400	0.0007000000000000001				
410	0.0014000000000000002				
420	0.0029				
430	0.4167				
440	0.8967				
450	0.905				
460	0.9057999999999999				
470	0.6518999999999999				
480	0.049				
490	0.0015				
500	0.0032				
510	0.0021				
520	0.0017000000000000001				
530	0.0011				
540	0.0012				
550	0.0046				
560	0.0029				
570	0.0026				
580	0.0016				
590	0.0011				
600	0.0017000000000000001				
610	0.002				
620	0.0015				
630	0.003				
640	0.0016				
650	0.0015				
660	0.0024				
670	0.0023				
680	0.0023				
690	0.0027				
700	0.0024				
710	0.0022				
720	0.0022				
730	0.0015				
740	0.0014000000000000002				
750	0.0018				
760	0.0023				
770	0.002				
780	0.0016				
790	0.0024				
800	0.0022				
810	0.0015				
820	0.0025				
830	0.0037				
840	0.0019				
850	0.0012				
860	0.0017000000000000001				
870	0.003				
880	0.0018				
890	-0.0002				
900	0.0002				
910	0.0001				
920	0.0002				
930	0.0004				
940	0.0003				
950	0.0003				
960	0.0006				
970	0.0002				
980	0.0004				
990	0.0012				
1000	0.0028000000000000004				
1010	0.0022				
1020	0.0017000000000000001				
1030	0.002				
1040	0.0027				
1050	0.0029				
1060	0.0026				
1070	0.0024				
1080	0.0027				
1090	0.0032				
1100	0.004				
