Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0	#F89522	MidOpt	Orange Bandpass Filter	BP590
360	0.0				
370	0.0				
380	0.0				
390	0.0001				
400	0.0				
410	0.0				
420	0.0				
430	0.0				
440	0.0				
450	0.0				
460	0.0				
470	0.0				
480	0.0				
490	0.0				
500	0.0001				
510	0.0001				
520	0.0002				
530	0.0014000000000000002				
540	0.0649				
550	0.4642				
560	0.8245999999999999				
570	0.9264				
580	0.9512999999999999				
590	0.9504				
600	0.7347				
610	0.3062				
620	0.1124				
630	0.0493				
640	0.023				
650	0.012				
660	0.0078000000000000005				
670	0.0060999999999999995				
680	0.0043				
690	0.0029				
700	0.0025				
710	0.0028000000000000004				
720	0.0039000000000000003				
730	0.0038				
740	0.0025				
750	0.0019				
760	0.0023				
770	0.0046				
780	0.0087				
790	0.0051				
800	0.0022				
810	0.0015				
820	0.0016				
830	0.0027				
840	0.0088				
850	0.0154				
860	0.0042				
870	0.0021				
880	0.0013				
890	0.0018				
900	0.0031				
910	0.0051				
920	0.0074				
930	0.0092				
940	0.0097				
950	0.009399999999999999				
960	0.0084				
970	0.0067				
980	0.005699999999999999				
990	0.0058				
1000	0.0069				
1010	0.0096				
1020	0.015300000000000001				
1030	0.0291				
1040	0.0611				
1050	0.1233				
1060	0.2097				
1070	0.2864				
1080	0.33240000000000003				
1090	0.3747				
1100	0.4384				
