Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.0004	#000000	MidOpt	Near-IR Interference Bandpass Filter	Bi905
360	0.0038				
370	0.0043				
380	0.0002				
390	0.0003				
400	0.0002				
410	0.0004				
420	0.0001				
430	0.0003				
440	0.0				
450	0.0005				
460	0.0				
470	0.0008				
480	0.0001				
490	0.0004				
500	0.001				
510	0.0003				
520	0.0008				
530	0.001				
540	0.0006				
550	0.0027				
560	0.0007000000000000001				
570	0.0003				
580	0.0006				
590	0.0006				
600	0.0005				
610	0.0003				
620	0.0005				
630	0.0012				
640	0.0016				
650	0.0031				
660	0.0025				
670	0.0006				
680	0.0005				
690	0.0011				
700	0.0022				
710	0.0011				
720	0.0013				
730	0.0009				
740	0.001				
750	0.0025				
760	0.0015				
770	0.0006				
780	0.0008				
790	0.0017000000000000001				
800	0.0021				
810	0.0009				
820	0.0008				
830	0.0019				
840	0.0031				
850	0.0018				
860	0.0018				
870	0.0033				
880	0.0161				
890	0.34659999999999996				
900	0.8945000000000001				
910	0.9039				
920	0.5049				
930	0.038900000000000004				
940	0.005600000000000001				
950	0.0024				
960	0.001				
970	0.001				
980	0.0016				
990	0.0019				
1000	0.0004				
1010	0.0006				
1020	0.0001				
1030	0.0				
1040	0.0				
1050	0.0004				
1060	0.0006				
1070	0.0005				
1080	0.0002				
1090	0.0003				
1100	0.0005				
