Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
250	0.0001	#191134	MidOpt	Dual Bandpass Absorptive Visible + NIR	DB395/870
260	0.0003				
270	0.004				
280	0.0294				
290	0.0814				
300	0.11				
310	0.1315				
320	0.168				
330	0.22820000000000001				
340	0.31739999999999996				
350	0.433				
360	0.5731				
370	0.7162000000000001				
380	0.8273				
390	0.8959				
400	0.9133				
410	0.8896999999999999				
420	0.8423				
430	0.7719				
440	0.6834				
450	0.5696				
460	0.4301				
470	0.2837				
480	0.1536				
490	0.0694				
500	0.0316				
510	0.014499999999999999				
520	0.0069				
530	0.0034999999999999996				
540	0.0026				
550	0.0039000000000000003				
560	0.006500000000000001				
570	0.0049				
580	0.0013				
590	0.0002				
600	0.0001				
610	0.0001				
620	0.0001				
630	0.0001				
640	0.0001				
650	0.0				
660	0.0001				
670	0.0002				
680	0.001				
690	0.006999999999999999				
700	0.04190000000000001				
710	0.1574				
720	0.3665				
730	0.5851				
740	0.7502				
750	0.857				
760	0.9112				
770	0.9364				
780	0.9426000000000001				
790	0.9440999999999999				
800	0.9398000000000001				
810	0.9328				
820	0.9274				
830	0.9204000000000001				
840	0.9135				
850	0.9072				
860	0.9009				
870	0.8944				
880	0.8884000000000001				
890	0.8791				
900	0.8706				
910	0.8626				
920	0.8534999999999999				
930	0.8449				
940	0.8362				
950	0.826				
960	0.8155				
970	0.8047				
980	0.7931999999999999				
990	0.7805				
1000	0.7669				
1010	0.7522				
1020	0.7359				
1030	0.7179000000000001				
1040	0.6981999999999999				
1050	0.6777				
1060	0.6557				
1070	0.6321				
1080	0.6068				
1090	0.58				
1100	0.5513				
1110	0.5216				
1120	0.49				
1130	0.45799999999999996				
1140	0.4267				
1150	0.395				
1160	0.3642				
1170	0.33509999999999995				
1180	0.3073				
1190	0.2813				
1200	0.25780000000000003				
1210	0.23550000000000001				
1220	0.2155				
1230	0.1971				
1240	0.1808				
1250	0.16699999999999998				
1260	0.1555				
1270	0.146				
1280	0.1381				
1290	0.132				
1300	0.1273				
