Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
800	0.0001	#966771	MidOpt	Short-Wave Infrared Longpass Filter	LP1000
810	0.0002				
820	0.0005				
830	0.0012				
840	0.0027				
850	0.0052				
860	0.009300000000000001				
870	0.0172				
880	0.0282				
890	0.0437				
900	0.0632				
910	0.0895				
920	0.1219				
930	0.159				
940	0.1993				
950	0.24309999999999998				
960	0.2888				
970	0.3342				
980	0.3803				
990	0.425				
1000	0.46840000000000004				
1010	0.5088				
1020	0.5471				
1030	0.5834				
1040	0.6161				
1050	0.6451				
1060	0.6713				
1070	0.6954				
1080	0.7167				
1090	0.7364				
1100	0.7541				
1110	0.7705				
1120	0.7853				
1130	0.7988				
1140	0.8107				
1150	0.8215				
1160	0.8311				
1170	0.8398				
1180	0.8475				
1190	0.8545999999999999				
1200	0.8609				
1210	0.8669				
1220	0.872				
1230	0.8772				
1240	0.8815000000000001				
1250	0.8855				
1260	0.8894				
1270	0.8928				
1280	0.8957999999999999				
1290	0.8989				
1300	0.9016				
1310	0.9042				
1320	0.9068				
1330	0.909				
1340	0.9113				
1350	0.9131				
1360	0.9148999999999999				
1370	0.9165000000000001				
1380	0.9181999999999999				
1390	0.9190999999999999				
1400	0.9198999999999999				
