Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.10400000000000001	#808285	MidOpt	Neutral Density Filter - Low Reflectivity 12.5% Transmission	Ni090
360	0.1036				
370	0.1036				
380	0.10400000000000001				
390	0.1048				
400	0.10550000000000001				
410	0.1065				
420	0.10779999999999999				
430	0.1092				
440	0.1108				
450	0.11230000000000001				
460	0.11380000000000001				
470	0.11539999999999999				
480	0.11710000000000001				
490	0.1189				
500	0.1204				
510	0.1219				
520	0.12359999999999999				
530	0.125				
540	0.12619999999999998				
550	0.1275				
560	0.12869999999999998				
570	0.12960000000000002				
580	0.1305				
590	0.1313				
600	0.1321				
610	0.13269999999999998				
620	0.1332				
630	0.1336				
640	0.13419999999999999				
650	0.1343				
660	0.1343				
670	0.1343				
680	0.1343				
690	0.13449999999999998				
700	0.1344				
710	0.1341				
720	0.1338				
730	0.1335				
740	0.1333				
750	0.1329				
760	0.1323				
770	0.1321				
780	0.1316				
790	0.1318				
800	0.1308				
810	0.1307				
820	0.1306				
830	0.1298				
840	0.12960000000000002				
850	0.1293				
860	0.12869999999999998				
870	0.1284				
880	0.1285				
890	0.129				
900	0.1286				
910	0.12789999999999999				
920	0.1278				
930	0.1273				
940	0.12710000000000002				
950	0.1268				
960	0.1267				
970	0.1265				
980	0.1261				
990	0.1261				
1000	0.1259				
1010	0.1257				
1020	0.1255				
1030	0.1252				
1040	0.1251				
1050	0.125				
1060	0.1247				
1070	0.1246				
1080	0.1245				
1090	0.1244				
1100	0.1241				
1110	0.12390000000000001				
1120	0.12369999999999999				
1130	0.12359999999999999				
1140	0.1235				
1150	0.1233				
1160	0.1232				
1170	0.1232				
1180	0.12300000000000001				
1190	0.12300000000000001				
1200	0.12279999999999999				
1210	0.12269999999999999				
1220	0.1226				
1230	0.1225				
1240	0.12240000000000001				
1250	0.1223				
1260	0.1222				
1270	0.1222				
1280	0.1223				
1290	0.1222				
1300	0.122				
1310	0.1219				
1320	0.1219				
1330	0.122				
1340	0.12179999999999999				
1350	0.1216				
1360	0.12119999999999999				
1370	0.1211				
1380	0.121				
1390	0.1204				
1400	0.12				
1410	0.1202				
1420	0.1204				
1430	0.1207				
1440	0.1208				
1450	0.1208				
1460	0.121				
1470	0.12119999999999999				
1480	0.1211				
1490	0.12119999999999999				
1500	0.1213				
1510	0.12119999999999999				
1520	0.1213				
1530	0.1213				
1540	0.1211				
1550	0.121				
1560	0.1209				
1570	0.1208				
1580	0.1207				
1590	0.1207				
1600	0.1206				
1610	0.1208				
1620	0.1207				
1630	0.1207				
1640	0.1209				
1650	0.1206				
1660	0.11960000000000001				
1670	0.12				
1680	0.11960000000000001				
1690	0.1199				
1700	0.1195				
1710	0.1199				
1720	0.1198				
1730	0.1192				
1740	0.11939999999999999				
1750	0.1192				
1760	0.11939999999999999				
1770	0.11900000000000001				
1780	0.1199				
1790	0.11900000000000001				
1800	0.1188				
1810	0.1182				
1820	0.1192				
1830	0.1192				
1840	0.11960000000000001				
1850	0.12029999999999999				
1860	0.12050000000000001				
1870	0.1189				
1880	0.11869999999999999				
1890	0.1199				
1900	0.1222				
1910	0.1192				
1920	0.1235				
1930	0.1207				
1940	0.1211				
1950	0.1204				
1960	0.1201				
1970	0.12179999999999999				
1980	0.1223				
1990	0.1208				
2000	0.1202				
