Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.0001	#ce9b57	MidOpt	Extended Hot Mirror / Reflects up to 1300nm	SP713
210	0.0				
220	0.0				
230	0.0				
240	0.0				
250	0.0				
260	0.0				
270	0.0				
280	0.0				
290	0.0				
300	0.0				
310	0.0				
320	0.0				
330	0.0001				
340	0.0				
350	0.0002				
360	0.009399999999999999				
370	0.0213				
380	0.009300000000000001				
390	0.0003				
400	0.0008				
410	0.042				
420	0.7953				
430	0.9355				
440	0.9451				
450	0.9406				
460	0.9553				
470	0.9425				
480	0.9651000000000001				
490	0.9484999999999999				
500	0.9688				
510	0.9573				
520	0.9654				
530	0.9666				
540	0.9590000000000001				
550	0.9706999999999999				
560	0.9616				
570	0.9575				
580	0.9599				
590	0.9676				
600	0.9686				
610	0.9564				
620	0.9551999999999999				
630	0.9592				
640	0.9686				
650	0.943				
660	0.9568000000000001				
670	0.9636				
680	0.9394				
690	0.8837				
700	0.3345				
710	0.0432				
720	0.0088				
730	0.0026				
740	0.001				
750	0.0004				
760	0.0002				
770	0.0001				
780	0.0001				
790	0.0001				
800	0.0001				
810	0.0001				
820	0.0				
830	0.0				
840	0.0				
850	0.0001				
860	0.0				
870	0.0005				
880	0.0004				
890	0.0002				
900	0.0003				
910	0.0007000000000000001				
920	0.0009				
930	0.0007000000000000001				
940	0.0007000000000000001				
950	0.0006				
960	0.0007000000000000001				
970	0.0045000000000000005				
980	0.0058				
990	0.0011				
1000	0.0008				
1010	0.0008				
1020	0.001				
1030	0.0018				
1040	0.0044				
1050	0.0028000000000000004				
1060	0.0014000000000000002				
1070	0.001				
1080	0.001				
1090	0.0011				
1100	0.0014000000000000002				
1110	0.0022				
1120	0.0044				
1130	0.0066				
1140	0.0049				
1150	0.0034000000000000002				
1160	0.0029				
1170	0.0029				
1180	0.0034999999999999996				
1190	0.0049				
1200	0.008				
1210	0.0151				
1220	0.0302				
1230	0.0464				
1240	0.0475				
1250	0.0434				
1260	0.0447				
1270	0.0535				
1280	0.0755				
1290	0.1264				
1300	0.2521				
