Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	8.999999999999999e-05	#838383	Omega	GG435 Absorption Glass	W2669
401	8.999999999999999e-05				
402	8.999999999999999e-05				
403	8.999999999999999e-05				
404	8.999999999999999e-05				
405	8.999999999999999e-05				
406	0.0001				
407	8.999999999999999e-05				
408	0.0001				
409	0.0001				
410	0.0001				
411	0.0001				
412	0.0001				
413	0.0001				
414	0.0001				
415	0.00012				
416	0.00013				
417	0.00015				
418	0.00027				
419	0.00058				
420	0.00128				
421	0.0027500000000000003				
422	0.00571				
423	0.01103				
424	0.01985				
425	0.03307				
426	0.05168999999999999				
427	0.07637				
428	0.10686				
429	0.14218				
430	0.18262				
431	0.2259				
432	0.27076				
433	0.31544				
434	0.35975				
435	0.40259999999999996				
436	0.44411				
437	0.4819				
438	0.5186				
439	0.55093				
440	0.5822999999999999				
441	0.60923				
442	0.6343099999999999				
443	0.65676				
444	0.6761499999999999				
445	0.69393				
446	0.70943				
447	0.72405				
448	0.7355700000000001				
449	0.7478				
450	0.75715				
451	0.7635200000000001				
452	0.7727200000000001				
453	0.7801300000000001				
454	0.78671				
455	0.79324				
456	0.7988299999999999				
457	0.80467				
458	0.8073600000000001				
459	0.81376				
460	0.8173699999999999				
461	0.8206600000000001				
462	0.82383				
463	0.8268800000000001				
464	0.83004				
465	0.8310200000000001				
466	0.83518				
467	0.83673				
468	0.83939				
469	0.8404900000000001				
470	0.84273				
471	0.84464				
472	0.84662				
473	0.8486				
474	0.8503799999999999				
475	0.85115				
476	0.85274				
477	0.85393				
478	0.8566800000000001				
479	0.8571599999999999				
480	0.8570399999999999				
481	0.85821				
482	0.86015				
483	0.86065				
484	0.8634999999999999				
485	0.86346				
486	0.86493				
487	0.86572				
488	0.86666				
489	0.8679600000000001				
490	0.86882				
491	0.86882				
492	0.86929				
493	0.87093				
494	0.87181				
495	0.87253				
496	0.87432				
497	0.87503				
498	0.87606				
499	0.8772				
500	0.87791				
501	0.87883				
502	0.87971				
503	0.88099				
504	0.8809999999999999				
505	0.88094				
506	0.8828100000000001				
507	0.88447				
508	0.8832800000000001				
509	0.8854900000000001				
510	0.8854000000000001				
511	0.8859600000000001				
512	0.8873399999999999				
513	0.88748				
514	0.8874599999999999				
515	0.88688				
516	0.8887900000000001				
517	0.88737				
518	0.8900100000000001				
519	0.8893899999999999				
520	0.89145				
521	0.89193				
522	0.89351				
523	0.892				
524	0.89267				
525	0.89274				
526	0.89268				
527	0.8945799999999999				
528	0.8943099999999999				
529	0.8942100000000001				
530	0.89554				
531	0.8967499999999999				
532	0.89503				
533	0.89725				
534	0.8973399999999999				
535	0.89676				
536	0.89732				
537	0.89655				
538	0.8980400000000001				
539	0.89666				
540	0.89795				
541	0.89819				
542	0.89953				
543	0.8974599999999999				
544	0.90015				
545	0.8992				
546	0.90008				
547	0.90035				
548	0.90129				
549	0.90044				
550	0.9016299999999999				
551	0.90047				
552	0.90266				
553	0.90069				
554	0.90185				
555	0.9013800000000001				
556	0.90105				
557	0.90201				
558	0.9014				
559	0.90211				
560	0.90098				
561	0.90349				
562	0.9017499999999999				
563	0.9023399999999999				
564	0.90185				
565	0.9034300000000001				
566	0.90334				
567	0.9035599999999999				
568	0.90282				
569	0.90168				
570	0.90262				
571	0.90208				
572	0.90346				
573	0.90208				
574	0.90184				
575	0.9029699999999999				
576	0.9030800000000001				
577	0.9032399999999999				
578	0.90294				
579	0.9039400000000001				
580	0.9030400000000001				
581	0.90397				
582	0.90339				
583	0.9039499999999999				
584	0.90412				
585	0.9031199999999999				
586	0.90265				
587	0.90378				
588	0.9040699999999999				
589	0.90309				
590	0.90518				
591	0.90293				
592	0.90262				
593	0.90399				
594	0.90288				
595	0.9042				
596	0.90342				
597	0.90415				
598	0.90335				
599	0.9042600000000001				
600	0.90277				
601	0.9040300000000001				
602	0.9040699999999999				
603	0.9039100000000001				
604	0.90295				
605	0.90298				
606	0.90208				
607	0.90322				
608	0.90256				
609	0.9045000000000001				
610	0.90384				
611	0.90238				
612	0.90376				
613	0.9018600000000001				
614	0.90365				
615	0.90374				
616	0.90384				
617	0.90298				
618	0.9025				
619	0.9024599999999999				
620	0.90279				
621	0.90153				
622	0.9029699999999999				
623	0.90188				
624	0.9013500000000001				
625	0.90184				
626	0.9022199999999999				
627	0.90185				
628	0.90142				
629	0.9017700000000001				
630	0.90185				
631	0.90229				
632	0.9019199999999999				
633	0.9022				
634	0.90101				
635	0.90166				
636	0.9004000000000001				
637	0.90149				
638	0.90063				
639	0.9012300000000001				
640	0.9015000000000001				
641	0.90046				
642	0.9012300000000001				
643	0.9008499999999999				
644	0.90133				
645	0.90032				
646	0.90034				
647	0.90038				
648	0.89974				
649	0.89805				
650	0.90108				
