Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
700	5e-05	#838383	Omega	1064/1540 DUAL Dual Band	W2687
701	6e-05				
702	1e-05				
703	2e-05				
704	3e-05				
705	5e-05				
706	5e-05				
707	2e-05				
708	5e-05				
709	3e-05				
710	2e-05				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	2e-05				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	4e-05				
723	2e-05				
724	3e-05				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	2e-05				
733	0.0				
734	2e-05				
735	1e-05				
736	1e-05				
737	0.0				
738	5e-05				
739	0.0				
740	0.0				
741	0.0				
742	6e-05				
743	0.0				
744	0.0				
745	3e-05				
746	0.0				
747	1e-05				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	1e-05				
754	0.0				
755	0.0				
756	1e-05				
757	2e-05				
758	2e-05				
759	1e-05				
760	0.0				
761	0.0				
762	0.0				
763	0.0				
764	0.0				
765	0.0				
766	0.0				
767	1e-05				
768	1e-05				
769	1e-05				
770	0.0				
771	0.0				
772	1e-05				
773	7.000000000000001e-05				
774	0.0				
775	0.0				
776	3e-05				
777	0.0				
778	0.0				
779	0.0				
780	0.0				
781	0.0				
782	0.0				
783	3e-05				
784	0.0				
785	2e-05				
786	4e-05				
787	2e-05				
788	0.0				
789	1e-05				
790	1e-05				
791	1e-05				
792	0.0				
793	0.0				
794	3e-05				
795	3e-05				
796	0.0				
797	0.0				
798	0.0				
799	1e-05				
800	2e-05				
801	3e-05				
802	4e-05				
803	3e-05				
804	7.000000000000001e-05				
805	3e-05				
806	0.0				
807	4e-05				
808	4e-05				
809	1e-05				
810	0.0				
811	5e-05				
812	8e-05				
813	3e-05				
814	3e-05				
815	4e-05				
816	5e-05				
817	8e-05				
818	5e-05				
819	7.000000000000001e-05				
820	5e-05				
821	5e-05				
822	4e-05				
823	5e-05				
824	8e-05				
825	8e-05				
826	8.999999999999999e-05				
827	7.000000000000001e-05				
828	6e-05				
829	6e-05				
830	0.00012				
831	5e-05				
832	4e-05				
833	8.999999999999999e-05				
834	0.00012				
835	0.00010999999999999999				
836	0.00013				
837	8e-05				
838	0.00015				
839	0.00014000000000000001				
840	0.00021999999999999998				
841	0.00012				
842	0.00017999999999999998				
843	0.00016				
844	0.00017999999999999998				
845	0.00016				
846	0.00015				
847	0.0002				
848	0.00021				
849	0.0002				
850	0.0002				
851	0.00021				
852	0.00031				
853	0.00026				
854	0.00017999999999999998				
855	0.0003				
856	0.00034				
857	0.0003				
858	0.00018999999999999998				
859	0.00028000000000000003				
860	0.00029				
861	0.00018999999999999998				
862	0.00033				
863	0.00021999999999999998				
864	0.00041				
865	0.00041				
866	0.00037				
867	0.00035000000000000005				
868	0.00035000000000000005				
869	0.00024				
870	0.00035000000000000005				
871	0.00046				
872	0.00031				
873	0.00037999999999999997				
874	0.0005				
875	0.00035000000000000005				
876	0.00043				
877	0.0004				
878	0.0003				
879	0.00048				
880	0.00061				
881	0.00025				
882	0.00055				
883	0.00058				
884	0.0				
885	0.0				
886	0.0				
887	0.0				
888	0.0				
889	0.0				
890	0.0				
891	0.0				
892	0.0				
893	0.0				
894	0.0				
895	0.0				
896	0.0				
897	0.0				
898	0.0				
899	0.0				
900	0.0				
901	0.0				
902	0.0				
903	0.0				
904	0.0				
905	0.0				
906	0.0				
907	0.0				
908	0.0				
909	0.0				
910	0.0				
911	0.0				
912	0.0				
913	0.0				
914	0.0				
915	0.0				
916	0.0				
917	0.0				
918	0.0				
919	0.0				
920	0.0				
921	0.0				
922	0.0				
923	0.0				
924	0.0				
925	0.0				
926	0.0				
927	0.0				
928	0.0				
929	0.0				
930	0.0				
931	0.0				
932	0.0				
933	0.0				
934	0.0				
935	0.0				
936	0.0				
937	0.0				
938	0.0				
