Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
545	0.0	#838383	Omega	595DF10 Bandpass	W2688
546	0.0				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	0.0				
564	0.0				
565	0.0				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	1e-05				
573	1e-05				
574	2e-05				
575	3e-05				
576	5e-05				
577	8.999999999999999e-05				
578	0.00015				
579	0.00025				
580	0.00042				
581	0.0007000000000000001				
582	0.00131				
583	0.00271				
584	0.00651				
585	0.01884				
586	0.0649				
587	0.21206				
588	0.48607999999999996				
589	0.7214400000000001				
590	0.8111799999999999				
591	0.82429				
592	0.8157				
593	0.79814				
594	0.77306				
595	0.74982				
596	0.7393500000000001				
597	0.71308				
598	0.57199				
599	0.32368				
600	0.12679				
601	0.04139				
602	0.01427				
603	0.00567				
604	0.0025700000000000002				
605	0.00132				
606	0.0007099999999999999				
607	0.0004				
608	0.00024				
609	0.00014000000000000001				
610	8e-05				
611	5e-05				
612	3e-05				
613	2e-05				
614	1e-05				
615	1e-05				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
