Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
700	0.0	#838383	Omega	RG780 Absorption Glass	W2745
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	0.0				
713	0.0				
714	0.0				
715	0.0				
716	1e-05				
717	1e-05				
718	2e-05				
719	1e-05				
720	0.0				
721	2e-05				
722	3e-05				
723	5e-05				
724	8.999999999999999e-05				
725	0.00012				
726	0.00016				
727	0.0002				
728	0.00027				
729	0.00033				
730	0.00041				
731	0.00053				
732	0.00067				
733	0.00086				
734	0.00106				
735	0.00136				
736	0.00167				
737	0.00208				
738	0.00262				
739	0.00328				
740	0.004030000000000001				
741	0.00496				
742	0.00611				
743	0.00741				
744	0.00911				
745	0.01121				
746	0.01366				
747	0.01651				
748	0.01988				
749	0.02392				
750	0.028530000000000003				
751	0.033769999999999994				
752	0.0397				
753	0.046150000000000004				
754	0.053360000000000005				
755	0.06133				
756	0.07005				
757	0.07993				
758	0.09054000000000001				
759	0.10244999999999999				
760	0.11532				
761	0.12894				
762	0.14359				
763	0.15912				
764	0.17614999999999997				
765	0.19338				
766	0.21169000000000002				
767	0.22925				
768	0.24698				
769	0.26594				
770	0.28745				
771	0.30943000000000004				
772	0.33257				
773	0.35641				
774	0.38043999999999994				
775	0.40428				
776	0.42845				
777	0.45275				
778	0.4754				
779	0.49909				
780	0.52256				
781	0.54241				
782	0.56496				
783	0.58494				
784	0.60377				
785	0.62315				
786	0.64374				
787	0.66105				
788	0.67825				
789	0.69312				
790	0.70875				
791	0.72088				
792	0.7341599999999999				
793	0.7437699999999999				
794	0.75485				
795	0.7647499999999999				
796	0.7731699999999999				
797	0.78276				
798	0.79057				
799	0.7952400000000001				
800	0.80337				
801	0.8095399999999999				
802	0.81367				
803	0.82104				
804	0.8273600000000001				
805	0.83179				
806	0.83463				
807	0.83978				
808	0.8425199999999999				
809	0.847				
810	0.8510899999999999				
811	0.8541500000000001				
812	0.8558199999999999				
813	0.8591				
814	0.86244				
815	0.8647400000000001				
816	0.86477				
817	0.86783				
818	0.87095				
819	0.87177				
820	0.87548				
821	0.87685				
822	0.8768				
823	0.8792300000000001				
824	0.88117				
825	0.8784000000000001				
826	0.88138				
827	0.8831100000000001				
828	0.88263				
829	0.8854500000000001				
830	0.88483				
831	0.88721				
832	0.88682				
833	0.88728				
834	0.8903				
835	0.8896200000000001				
836	0.8870699999999999				
837	0.8890600000000001				
838	0.8910899999999999				
839	0.8889900000000001				
840	0.8922100000000001				
841	0.8887999999999999				
842	0.88681				
843	0.88897				
844	0.89276				
845	0.89116				
846	0.8947400000000001				
847	0.8972				
848	0.89244				
849	0.895				
850	0.8930899999999999				
