Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	1e-05	#838383	Omega	PL-360LP Photolithography Mask Aligner Filter 165x165mm Longpass	W2927
301	0.0				
302	0.0				
303	1e-05				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	1e-05				
335	5e-05				
336	0.00010999999999999999				
337	0.00028000000000000003				
338	0.00067				
339	0.0014099999999999998				
340	0.0027800000000000004				
341	0.00526				
342	0.00935				
343	0.015880000000000002				
344	0.02524				
345	0.03873				
346	0.05567999999999999				
347	0.07901				
348	0.10592				
349	0.13949999999999999				
350	0.17403				
351	0.21422				
352	0.25603000000000004				
353	0.29932				
354	0.34232				
355	0.38628				
356	0.42945				
357	0.47043999999999997				
358	0.50751				
359	0.54521				
360	0.5798599999999999				
361	0.6109100000000001				
362	0.64031				
363	0.66688				
364	0.69104				
365	0.7119599999999999				
366	0.7298699999999999				
367	0.7487				
368	0.7647400000000001				
369	0.77872				
370	0.7911400000000001				
371	0.8028400000000001				
372	0.81274				
373	0.8215399999999999				
374	0.82903				
375	0.83587				
376	0.84134				
377	0.84721				
378	0.85134				
379	0.85698				
380	0.86047				
381	0.86369				
382	0.86687				
383	0.87032				
384	0.87188				
385	0.87507				
386	0.8784099999999999				
387	0.88023				
388	0.8816700000000001				
389	0.88312				
390	0.88359				
391	0.88591				
392	0.88625				
393	0.8885				
394	0.88976				
395	0.89075				
396	0.8916				
397	0.8917400000000001				
398	0.89275				
399	0.8934099999999999				
400	0.89361				
401	0.8941				
402	0.89539				
403	0.8950400000000001				
404	0.8962699999999999				
405	0.897				
406	0.8967100000000001				
407	0.89661				
408	0.8976900000000001				
409	0.89738				
410	0.8978700000000001				
411	0.89813				
412	0.89884				
413	0.8988299999999999				
414	0.89878				
415	0.8988200000000001				
416	0.8989400000000001				
417	0.89973				
418	0.89955				
419	0.90031				
420	0.90036				
421	0.89943				
422	0.90031				
423	0.9007				
424	0.89973				
425	0.9005				
426	0.90069				
427	0.90107				
428	0.90145				
429	0.9011199999999999				
430	0.90158				
431	0.9003				
432	0.9013800000000001				
433	0.9015099999999999				
434	0.9011499999999999				
435	0.90107				
436	0.90146				
437	0.90187				
438	0.90164				
439	0.90144				
440	0.90161				
441	0.9013500000000001				
442	0.90184				
443	0.9018				
444	0.9022				
445	0.90238				
446	0.9018200000000001				
447	0.90255				
448	0.9024				
449	0.90215				
450	0.9024800000000001				
451	0.90288				
452	0.90295				
453	0.90242				
454	0.9027				
455	0.90321				
456	0.90277				
457	0.90264				
458	0.9029200000000001				
459	0.90288				
460	0.90381				
461	0.90243				
462	0.9030400000000001				
463	0.90267				
464	0.9032399999999999				
465	0.9029699999999999				
466	0.90254				
467	0.90337				
468	0.90301				
469	0.90346				
470	0.90354				
471	0.9033				
472	0.90375				
473	0.90352				
474	0.90338				
475	0.9034				
476	0.90333				
477	0.90365				
478	0.90427				
479	0.90375				
480	0.90423				
481	0.9040300000000001				
482	0.9040300000000001				
483	0.90374				
484	0.90412				
485	0.90387				
486	0.9031399999999999				
487	0.90375				
488	0.9043399999999999				
489	0.90401				
490	0.90402				
491	0.90396				
492	0.90401				
493	0.90437				
494	0.90449				
495	0.9038200000000001				
496	0.90431				
497	0.90416				
498	0.90431				
499	0.90457				
500	0.9043399999999999				
501	0.9046500000000001				
502	0.90467				
503	0.90429				
504	0.90452				
505	0.90506				
506	0.90448				
507	0.90444				
508	0.9042600000000001				
509	0.90512				
510	0.90487				
511	0.90422				
512	0.90508				
513	0.90473				
514	0.90495				
