Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
325	0.0	#838383	Omega	425BP30 Bandpass	W3332
326	0.0				
327	1e-05				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	1e-05				
340	3e-05				
341	0.0				
342	2e-05				
343	5e-05				
344	0.0				
345	0.0				
346	6e-05				
347	0.0				
348	0.0				
349	5e-05				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	1e-05				
361	1e-05				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	2e-05				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	2e-05				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	1e-05				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	1e-05				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	1e-05				
400	0.0				
401	0.0				
402	0.0001				
403	0.00149				
404	0.0138				
405	0.03869				
406	0.11856				
407	0.28257				
408	0.37079999999999996				
409	0.53494				
410	0.6844199999999999				
411	0.7358199999999999				
412	0.75554				
413	0.76667				
414	0.7660399999999999				
415	0.7522				
416	0.76544				
417	0.79167				
418	0.79391				
419	0.7954600000000001				
420	0.81474				
421	0.82872				
422	0.83024				
423	0.83176				
424	0.83788				
425	0.84071				
426	0.82759				
427	0.8132699999999999				
428	0.81388				
429	0.82247				
430	0.82351				
431	0.8282200000000001				
432	0.84598				
433	0.85263				
434	0.8316899999999999				
435	0.8170999999999999				
436	0.8336199999999999				
437	0.83666				
438	0.6777200000000001				
439	0.32497				
440	0.10007999999999999				
441	0.033				
442	0.01337				
443	0.00586				
444	0.00246				
445	0.0010199999999999999				
446	0.00048				
447	0.00021999999999999998				
448	0.00015				
449	8e-05				
450	0.0001				
451	6e-05				
452	3e-05				
453	8.999999999999999e-05				
454	4e-05				
455	2e-05				
456	0.0				
457	1e-05				
458	1e-05				
459	3e-05				
460	2e-05				
461	1e-05				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	1e-05				
469	0.0				
470	3e-05				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	1e-05				
487	0.0				
488	3e-05				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	2e-05				
498	4e-05				
499	0.0				
500	0.0				
501	0.0				
502	3e-05				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	1e-05				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	1e-05				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	0.0				
521	0.0				
522	1e-05				
523	0.0				
524	0.0				
525	0.0				
