Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	8e-05	#838383	Omega	420ALP Longpass	W3726
401	0.00012				
402	0.00017				
403	0.00025				
404	0.00041				
405	0.00066				
406	0.00096				
407	0.00156				
408	0.0023699999999999997				
409	0.00378				
410	0.00588				
411	0.009000000000000001				
412	0.01414				
413	0.02169				
414	0.03292				
415	0.05037				
416	0.07674				
417	0.1139				
418	0.16570000000000001				
419	0.23373999999999998				
420	0.32014000000000004				
421	0.41920999999999997				
422	0.5184300000000001				
423	0.6158				
424	0.69616				
425	0.75442				
426	0.7959				
427	0.82395				
428	0.84274				
429	0.8518399999999999				
430	0.8562000000000001				
431	0.85843				
432	0.8636400000000001				
433	0.8647400000000001				
434	0.86568				
435	0.86773				
436	0.86932				
437	0.87005				
438	0.8709699999999999				
439	0.87362				
440	0.8748600000000001				
441	0.87566				
442	0.87739				
443	0.87848				
444	0.88043				
445	0.8808799999999999				
446	0.88273				
447	0.88424				
448	0.8860800000000001				
449	0.88618				
450	0.88875				
451	0.88521				
452	0.88546				
453	0.88925				
454	0.8884000000000001				
455	0.88818				
456	0.8877200000000001				
457	0.88678				
458	0.8855200000000001				
459	0.88684				
460	0.88776				
461	0.8878900000000001				
462	0.8865900000000001				
463	0.8870600000000001				
464	0.88803				
465	0.8880500000000001				
466	0.8885500000000001				
467	0.89091				
468	0.8914				
469	0.89409				
470	0.8943300000000001				
471	0.89587				
472	0.8965900000000001				
473	0.8963				
474	0.8961				
475	0.89783				
476	0.89742				
477	0.89652				
478	0.89783				
479	0.8970699999999999				
480	0.89507				
481	0.89519				
482	0.895				
483	0.89515				
484	0.89007				
485	0.8906399999999999				
486	0.8898				
487	0.8913599999999999				
488	0.8897799999999999				
489	0.8868300000000001				
490	0.8878199999999999				
491	0.88843				
492	0.88866				
493	0.88958				
494	0.8898699999999999				
495	0.89154				
496	0.88923				
497	0.89436				
498	0.89544				
499	0.89301				
500	0.89667				
501	0.89852				
502	0.89916				
503	0.89925				
504	0.9001600000000001				
505	0.90155				
506	0.90264				
507	0.90236				
508	0.90306				
509	0.9028100000000001				
510	0.9030400000000001				
511	0.90291				
512	0.90098				
513	0.89943				
514	0.9020999999999999				
515	0.9000900000000001				
516	0.89866				
517	0.9004300000000001				
518	0.89802				
519	0.89774				
520	0.897				
521	0.89618				
522	0.89569				
523	0.8964				
524	0.8954000000000001				
525	0.89669				
526	0.89526				
527	0.8951399999999999				
528	0.89577				
529	0.89704				
530	0.89699				
531	0.8972100000000001				
532	0.89744				
533	0.8976999999999999				
534	0.90034				
535	0.90024				
536	0.8996200000000001				
537	0.9004800000000001				
538	0.9042				
539	0.903				
540	0.90319				
541	0.90422				
542	0.90551				
543	0.90445				
544	0.90473				
545	0.9028400000000001				
546	0.90554				
547	0.903				
548	0.90456				
549	0.9031600000000001				
550	0.90096				
551	0.9024599999999999				
552	0.9020199999999999				
553	0.90279				
554	0.9001399999999999				
555	0.89833				
556	0.89908				
557	0.89768				
558	0.89705				
559	0.89569				
560	0.8945000000000001				
561	0.89483				
562	0.89411				
563	0.89376				
564	0.8918699999999999				
565	0.89495				
566	0.89349				
567	0.89265				
568	0.89429				
569	0.89235				
570	0.89255				
571	0.89604				
572	0.89476				
573	0.89422				
574	0.8951600000000001				
575	0.8950499999999999				
576	0.89582				
577	0.89554				
578	0.8980800000000001				
579	0.8981				
580	0.89806				
581	0.89994				
582	0.90008				
583	0.90006				
584	0.90283				
585	0.90215				
586	0.9023699999999999				
587	0.90306				
588	0.90339				
589	0.90282				
590	0.9036				
591	0.9041800000000001				
592	0.9025799999999999				
593	0.9041				
594	0.902				
595	0.903				
596	0.90346				
597	0.9026099999999999				
598	0.90223				
599	0.9013800000000001				
600	0.9005500000000001				
601	0.90082				
602	0.89959				
603	0.8987099999999999				
604	0.8986700000000001				
605	0.89878				
606	0.897				
607	0.89779				
608	0.8962699999999999				
609	0.8962				
610	0.89443				
611	0.8943099999999999				
612	0.89482				
613	0.89313				
614	0.89279				
615	0.89337				
616	0.8931				
617	0.89239				
618	0.89238				
619	0.8928				
620	0.89333				
621	0.89176				
622	0.89301				
623	0.8926999999999999				
624	0.89349				
625	0.89429				
626	0.89459				
627	0.89384				
628	0.89557				
629	0.89622				
630	0.895				
631	0.8976500000000001				
632	0.89764				
633	0.89689				
634	0.89739				
635	0.8995799999999999				
636	0.8995399999999999				
637	0.8987999999999999				
638	0.89974				
639	0.90167				
640	0.90116				
641	0.90113				
642	0.90154				
643	0.90274				
644	0.90137				
645	0.90173				
646	0.90309				
647	0.90179				
648	0.9019799999999999				
649	0.90228				
650	0.90208				
651	0.89976				
652	0.9009				
653	0.9005				
654	0.8998999999999999				
655	0.89927				
656	0.8987099999999999				
657	0.89905				
658	0.8979600000000001				
659	0.8950199999999999				
660	0.8966				
661	0.89425				
662	0.89469				
663	0.89445				
664	0.89278				
665	0.8919499999999999				
666	0.8909900000000001				
667	0.89142				
668	0.89031				
669	0.8879699999999999				
670	0.88846				
671	0.88691				
672	0.88685				
673	0.88524				
674	0.88484				
675	0.88315				
676	0.88457				
677	0.88381				
678	0.88327				
679	0.88274				
680	0.88264				
681	0.8834000000000001				
682	0.8819199999999999				
683	0.88203				
684	0.88318				
685	0.88158				
686	0.88107				
687	0.88201				
688	0.88249				
689	0.88221				
690	0.884				
691	0.8831699999999999				
692	0.8836700000000001				
693	0.8828900000000001				
694	0.88485				
695	0.88458				
696	0.8856499999999999				
697	0.8851300000000001				
698	0.8854000000000001				
699	0.8861199999999999				
700	0.8874599999999999				
701	0.888				
702	0.88748				
703	0.88714				
704	0.89057				
705	0.88976				
706	0.89101				
707	0.89122				
708	0.8917100000000001				
709	0.8908400000000001				
710	0.89238				
711	0.8940300000000001				
712	0.8920999999999999				
713	0.8935				
714	0.89583				
715	0.89546				
716	0.89499				
717	0.89434				
718	0.89644				
719	0.89678				
720	0.89605				
721	0.89598				
722	0.8953700000000001				
723	0.89752				
724	0.89545				
725	0.89429				
