Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	630LP Longpass	W3785
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	0.0				
310	0.0				
311	0.0				
312	0.0				
313	0.0				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.0				
338	0.0				
339	0.0				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	0.0				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	1e-05				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	2e-05				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	1e-05				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	1e-05				
399	0.0				
400	0.0				
401	1e-05				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	3e-05				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	4e-05				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	1e-05				
436	7.000000000000001e-05				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	1e-05				
447	0.0				
448	1e-05				
449	1e-05				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	1e-05				
459	0.0				
460	0.0				
461	0.0				
462	2e-05				
463	0.0				
464	0.0				
465	0.0				
466	4e-05				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	2e-05				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	5e-05				
482	1e-05				
483	0.0				
484	0.0				
485	0.0				
486	3e-05				
487	0.0				
488	0.0				
489	0.0				
490	2e-05				
491	0.0				
492	0.0				
493	0.0				
494	1e-05				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	2e-05				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	1e-05				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	3e-05				
516	0.0				
517	0.0				
518	5e-05				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	3e-05				
524	0.0				
525	0.0				
526	1e-05				
527	2e-05				
528	0.0				
529	0.0				
530	0.0				
531	0.0				
532	0.0				
533	0.0				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	0.0				
540	0.0				
541	0.0				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	1e-05				
547	0.0				
548	0.0				
549	0.0				
550	0.0				
551	0.0				
552	0.0				
553	0.0				
554	1e-05				
555	0.0				
556	0.0				
557	3e-05				
558	1e-05				
559	4e-05				
560	0.0				
561	1e-05				
562	0.0				
563	0.0				
564	0.0				
565	5e-05				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	0.0				
572	0.0				
573	1e-05				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	2e-05				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	1e-05				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	1e-05				
596	0.0				
597	1e-05				
598	0.0				
599	0.0				
600	0.0				
601	0.0				
602	1e-05				
603	0.0				
604	0.0				
605	0.0				
606	1e-05				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	4e-05				
613	0.0				
614	0.0				
615	2e-05				
616	0.0				
617	0.0				
618	2e-05				
619	0.0				
620	0.00014000000000000001				
621	0.00034				
622	0.0008500000000000001				
623	0.00208				
624	0.0054800000000000005				
625	0.014830000000000001				
626	0.04101				
627	0.10925000000000001				
628	0.24821000000000001				
629	0.42116				
630	0.54234				
631	0.60397				
632	0.6431				
633	0.67419				
634	0.7016899999999999				
635	0.72382				
636	0.74272				
637	0.7601600000000001				
638	0.7772199999999999				
639	0.7949299999999999				
640	0.81301				
641	0.82896				
642	0.84187				
643	0.8521899999999999				
644	0.86074				
645	0.8666200000000001				
646	0.87137				
647	0.87595				
648	0.8809699999999999				
649	0.88696				
650	0.89263				
651	0.89818				
652	0.9039400000000001				
653	0.90913				
654	0.91224				
655	0.91515				
656	0.91609				
657	0.91512				
658	0.91634				
659	0.91642				
660	0.917				
661	0.91657				
662	0.91753				
663	0.92027				
664	0.92168				
665	0.9250700000000001				
666	0.9256399999999999				
667	0.9283499999999999				
668	0.92935				
669	0.9297				
670	0.93006				
671	0.9293899999999999				
672	0.92901				
673	0.9283899999999999				
674	0.92723				
675	0.92551				
676	0.92536				
677	0.92401				
678	0.92474				
679	0.92456				
680	0.92541				
681	0.92687				
682	0.92834				
683	0.92899				
684	0.93082				
685	0.9308799999999999				
686	0.93159				
687	0.93238				
688	0.9323				
689	0.93061				
690	0.93033				
691	0.93024				
692	0.92783				
693	0.92741				
694	0.92809				
695	0.92745				
696	0.9256399999999999				
697	0.9259499999999999				
698	0.92635				
699	0.9258799999999999				
700	0.92616				
701	0.92712				
702	0.92948				
703	0.92884				
704	0.93013				
705	0.9310200000000001				
706	0.93104				
707	0.9312999999999999				
708	0.93101				
709	0.9306				
710	0.9294199999999999				
711	0.92877				
