Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
620	0.0	#838383	Omega	682DF30-M Bandpass	W3926
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	1e-05				
650	2e-05				
651	6e-05				
652	0.00010999999999999999				
653	0.00017999999999999998				
654	0.00028000000000000003				
655	0.00043				
656	0.00064				
657	0.00098				
658	0.00155				
659	0.00252				
660	0.0042699999999999995				
661	0.00749				
662	0.01374				
663	0.0264				
664	0.05341				
665	0.11141999999999999				
666	0.22917				
667	0.41826				
668	0.6217				
669	0.74717				
670	0.78655				
671	0.7848900000000001				
672	0.78208				
673	0.7900400000000001				
674	0.7988599999999999				
675	0.80985				
676	0.8180299999999999				
677	0.82317				
678	0.82818				
679	0.83284				
680	0.8358599999999999				
681	0.84065				
682	0.84382				
683	0.84526				
684	0.84462				
685	0.8410599999999999				
686	0.8343600000000001				
687	0.81989				
688	0.80029				
689	0.7737999999999999				
690	0.74477				
691	0.71662				
692	0.69882				
693	0.69622				
694	0.7129000000000001				
695	0.74604				
696	0.77377				
697	0.73587				
698	0.57509				
699	0.35523000000000005				
700	0.18486				
701	0.09095				
702	0.04562				
703	0.02421				
704	0.01347				
705	0.00795				
706	0.00483				
707	0.0030399999999999997				
708	0.0019500000000000001				
709	0.00126				
710	0.0008500000000000001				
711	0.0005899999999999999				
712	0.00039				
713	0.00026				
714	0.00015				
715	0.0001				
716	5e-05				
717	1e-05				
718	0.0				
719	0.0				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.0				
727	0.0				
728	0.0				
729	0.0				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	0.0				
736	0.0				
737	0.0				
738	0.0				
739	0.0				
740	0.0				
