Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	2e-05	#838383	Omega	450DF70-O2 Bandpass	W4155
351	1e-05				
352	1e-05				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	3e-05				
358	0.0				
359	0.0				
360	0.0				
361	1e-05				
362	0.0				
363	1e-05				
364	1e-05				
365	2e-05				
366	0.0				
367	4e-05				
368	0.0				
369	0.0				
370	0.0				
371	1e-05				
372	4e-05				
373	1e-05				
374	1e-05				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	1e-05				
380	1e-05				
381	6e-05				
382	1e-05				
383	3e-05				
384	4e-05				
385	1e-05				
386	6e-05				
387	3e-05				
388	0.0				
389	2e-05				
390	5e-05				
391	1e-05				
392	5e-05				
393	4e-05				
394	0.0				
395	1e-05				
396	4e-05				
397	8.999999999999999e-05				
398	5e-05				
399	5e-05				
400	0.00013				
401	0.00029				
402	0.00028000000000000003				
403	0.0004				
404	0.0005099999999999999				
405	0.00092				
406	0.00184				
407	0.00334				
408	0.00502				
409	0.007940000000000001				
410	0.01641				
411	0.03719				
412	0.06737				
413	0.09559				
414	0.14417				
415	0.27372				
416	0.53138				
417	0.7990200000000001				
418	0.9115099999999999				
419	0.9283				
420	0.9348099999999999				
421	0.943				
422	0.94318				
423	0.9405800000000001				
424	0.94024				
425	0.94243				
426	0.9434999999999999				
427	0.9456699999999999				
428	0.9466100000000001				
429	0.94711				
430	0.94922				
431	0.94856				
432	0.94978				
433	0.9484600000000001				
434	0.9490999999999999				
435	0.9505800000000001				
436	0.9507099999999999				
437	0.95086				
438	0.94962				
439	0.94987				
440	0.9497199999999999				
441	0.94997				
442	0.94986				
443	0.9478				
444	0.94538				
445	0.9459000000000001				
446	0.94747				
447	0.94903				
448	0.9511				
449	0.94987				
450	0.94974				
451	0.9512999999999999				
452	0.9514499999999999				
453	0.95124				
454	0.95052				
455	0.94963				
456	0.95092				
457	0.95125				
458	0.95096				
459	0.95125				
460	0.9522499999999999				
461	0.9515300000000001				
462	0.95226				
463	0.95048				
464	0.9501900000000001				
465	0.9495399999999999				
466	0.9502200000000001				
467	0.94939				
468	0.9484699999999999				
469	0.94513				
470	0.94462				
471	0.94621				
472	0.94842				
473	0.94853				
474	0.9475				
475	0.9445				
476	0.9460500000000001				
477	0.9467300000000001				
478	0.9472				
479	0.94526				
480	0.94406				
481	0.94569				
482	0.94301				
483	0.93747				
484	0.93106				
485	0.90415				
486	0.7706000000000001				
487	0.50442				
488	0.24452000000000002				
489	0.09954				
490	0.04269				
491	0.02029				
492	0.010700000000000001				
493	0.006059999999999999				
494	0.0037099999999999998				
495	0.00227				
496	0.0014099999999999998				
497	0.00091				
498	0.00055				
499	0.00028000000000000003				
500	0.00018999999999999998				
501	0.00013				
502	0.0001				
503	6e-05				
504	4e-05				
505	3e-05				
506	2e-05				
507	3e-05				
508	3e-05				
509	4e-05				
510	3e-05				
511	2e-05				
