Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.47964	#838383	Omega	50/50BS/35MM*45MM Beam Splitter	W4617
401	0.47705				
402	0.47137				
403	0.46454				
404	0.46012000000000003				
405	0.4581				
406	0.45546				
407	0.45252000000000003				
408	0.44823				
409	0.44823				
410	0.4472				
411	0.44728				
412	0.44341				
413	0.44354999999999994				
414	0.44380000000000003				
415	0.44380000000000003				
416	0.44576				
417	0.44393				
418	0.44553				
419	0.44528				
420	0.44798000000000004				
421	0.44758000000000003				
422	0.4481				
423	0.45036000000000004				
424	0.45293				
425	0.45436				
426	0.45643				
427	0.45685000000000003				
428	0.46098999999999996				
429	0.46231				
430	0.46556				
431	0.46741999999999995				
432	0.47178				
433	0.47228000000000003				
434	0.47381				
435	0.4775				
436	0.47959				
437	0.48341999999999996				
438	0.48606				
439	0.48812				
440	0.49079999999999996				
441	0.49289				
442	0.4947				
443	0.49544				
444	0.49776000000000004				
445	0.50098				
446	0.50216				
447	0.50524				
448	0.5075				
449	0.50731				
450	0.50852				
451	0.5096				
452	0.51171				
453	0.51295				
454	0.51408				
455	0.51579				
456	0.51667				
457	0.5159				
458	0.51681				
459	0.51796				
460	0.5161				
461	0.51778				
462	0.51697				
463	0.51802				
464	0.51977				
465	0.5158400000000001				
466	0.5163				
467	0.5168699999999999				
468	0.51395				
469	0.5151				
470	0.51333				
471	0.51136				
472	0.51079				
473	0.51122				
474	0.51047				
475	0.5082800000000001				
476	0.5062				
477	0.50632				
478	0.50622				
479	0.50348				
480	0.50196				
481	0.50154				
482	0.49862				
483	0.49861				
484	0.49715000000000004				
485	0.49577				
486	0.49502				
487	0.49376				
488	0.49206000000000005				
489	0.49149				
490	0.48934				
491	0.48859				
492	0.48625				
493	0.48462000000000005				
494	0.4853				
495	0.48381				
496	0.48168999999999995				
497	0.48107				
498	0.48019				
499	0.47997				
500	0.47787999999999997				
501	0.47832				
502	0.47618000000000005				
503	0.47509				
504	0.47472000000000003				
505	0.47339				
506	0.47296				
507	0.47151000000000004				
508	0.47241				
509	0.47171				
510	0.46989				
511	0.46947000000000005				
512	0.46926				
513	0.46898				
514	0.46824				
515	0.46773000000000003				
516	0.46719				
517	0.46615				
518	0.46838				
519	0.46625999999999995				
520	0.46537999999999996				
521	0.46637999999999996				
522	0.46481				
523	0.46479				
524	0.4653				
525	0.46485				
526	0.46680999999999995				
527	0.46481				
528	0.46381999999999995				
529	0.46438				
530	0.46439				
531	0.46514000000000005				
532	0.4656				
533	0.46535				
534	0.46497999999999995				
535	0.46617				
536	0.46551000000000003				
537	0.46493				
538	0.46503999999999995				
539	0.46722				
540	0.46576999999999996				
541	0.46590000000000004				
542	0.46887999999999996				
543	0.46596				
544	0.46786				
545	0.46625999999999995				
546	0.46601				
547	0.46867				
548	0.46799999999999997				
549	0.46928				
550	0.46811				
551	0.46728000000000003				
552	0.46854				
553	0.46966				
554	0.46834000000000003				
555	0.4678				
556	0.46957				
557	0.47103				
558	0.47085				
559	0.47137999999999997				
560	0.47106000000000003				
561	0.46866				
562	0.47104999999999997				
563	0.47072				
564	0.4698				
565	0.46869				
566	0.47377				
567	0.47196				
568	0.47212000000000004				
569	0.46874000000000005				
570	0.47202				
571	0.47404				
572	0.4682				
573	0.4704				
574	0.47348				
575	0.47262				
576	0.47035				
577	0.46924999999999994				
578	0.46997999999999995				
579	0.47082				
580	0.47240000000000004				
581	0.47028				
582	0.46990000000000004				
583	0.47149				
584	0.47153				
585	0.47084000000000004				
586	0.4764				
587	0.46946				
588	0.47249				
589	0.47286				
590	0.47409				
591	0.46688				
592	0.47092				
593	0.46819000000000005				
594	0.46970999999999996				
595	0.47432				
596	0.4708				
597	0.47247				
598	0.47052				
599	0.46893999999999997				
600	0.47226				
601	0.46759999999999996				
602	0.47182				
603	0.47356000000000004				
604	0.46764000000000006				
605	0.46946				
606	0.46965				
607	0.46968000000000004				
608	0.46781				
609	0.46973				
610	0.47006				
611	0.47256				
612	0.47101				
613	0.4703				
614	0.47136				
615	0.47172				
616	0.47436				
617	0.46952				
618	0.47057000000000004				
619	0.47284				
620	0.47148				
621	0.47185000000000005				
622	0.47104999999999997				
623	0.47093				
624	0.47658				
625	0.46979				
626	0.47255				
627	0.47113999999999995				
628	0.47275				
629	0.47529000000000005				
630	0.47213				
631	0.47097				
632	0.47319				
633	0.47432				
634	0.47454				
635	0.47332				
636	0.47801000000000005				
637	0.47548				
638	0.47574				
639	0.47728000000000004				
640	0.47258				
641	0.4779				
642	0.48463				
643	0.47756				
644	0.48051				
645	0.47735				
646	0.48058999999999996				
647	0.48198				
648	0.47948				
649	0.47826				
650	0.48513				
651	0.48113				
652	0.48434				
653	0.48292999999999997				
654	0.48505000000000004				
655	0.4874				
656	0.4863				
657	0.48551				
658	0.48387				
659	0.48835999999999996				
660	0.48938000000000004				
661	0.48947				
662	0.49338				
663	0.49107				
664	0.49292				
665	0.49744				
666	0.48994				
667	0.50087				
668	0.49244				
669	0.49668				
670	0.49713				
671	0.49839				
672	0.50068				
673	0.50243				
674	0.50304				
675	0.5030899999999999				
676	0.50211				
677	0.51001				
678	0.50693				
679	0.50764				
680	0.5029699999999999				
681	0.50845				
682	0.50896				
683	0.50848				
684	0.50959				
685	0.5128199999999999				
686	0.52076				
687	0.5158200000000001				
688	0.51765				
689	0.51819				
690	0.51801				
691	0.52268				
692	0.52605				
693	0.52482				
694	0.52598				
695	0.52654				
696	0.52872				
697	0.52951				
698	0.53071				
699	0.53513				
700	0.53421				
