Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
460	0.0	#838383	Omega	550AF60 Bandpass	W4621
461	0.0				
462	0.0				
463	0.0				
464	1e-05				
465	0.0				
466	1e-05				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	1e-05				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	1e-05				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	1e-05				
496	0.0				
497	0.0				
498	0.0				
499	1e-05				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	1e-05				
508	0.0				
509	1e-05				
510	2e-05				
511	4e-05				
512	7.000000000000001e-05				
513	0.00017				
514	0.00039				
515	0.00095				
516	0.0023799999999999997				
517	0.00626				
518	0.01788				
519	0.05487				
520	0.16676				
521	0.4133				
522	0.69243				
523	0.81974				
524	0.8370799999999999				
525	0.82762				
526	0.8161499999999999				
527	0.80077				
528	0.7915800000000001				
529	0.78597				
530	0.78928				
531	0.80258				
532	0.8191200000000001				
533	0.83756				
534	0.84812				
535	0.84929				
536	0.83955				
537	0.82012				
538	0.80104				
539	0.78266				
540	0.77381				
541	0.7728100000000001				
542	0.78365				
543	0.80081				
544	0.82122				
545	0.8419				
546	0.85413				
547	0.8536199999999999				
548	0.84439				
549	0.82973				
550	0.8118899999999999				
551	0.79785				
552	0.7915399999999999				
553	0.7906				
554	0.7993300000000001				
555	0.8106				
556	0.82234				
557	0.83649				
558	0.84387				
559	0.84736				
560	0.8453499999999999				
561	0.83973				
562	0.8320000000000001				
563	0.82487				
564	0.81935				
565	0.81769				
566	0.8195600000000001				
567	0.82461				
568	0.83097				
569	0.83825				
570	0.84369				
571	0.84721				
572	0.84588				
573	0.84329				
574	0.8392400000000001				
575	0.8342400000000001				
576	0.82792				
577	0.82135				
578	0.80919				
579	0.79903				
580	0.8061				
581	0.73824				
582	0.42696				
583	0.13285				
584	0.03236				
585	0.00865				
586	0.00265				
587	0.00091				
588	0.00035999999999999997				
589	0.00014000000000000001				
590	6e-05				
591	3e-05				
592	2e-05				
593	1e-05				
594	0.0				
595	1e-05				
596	1e-05				
597	0.0				
598	0.0				
599	0.0				
600	1e-05				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	1e-05				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	1e-05				
631	0.0				
632	1e-05				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
