Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.7422799999999999	#838383	Omega	546DCLP Dichroic	W4759
451	0.73969				
452	0.66999				
453	0.5234300000000001				
454	0.41174999999999995				
455	0.29019				
456	0.23985				
457	0.25013				
458	0.28602				
459	0.30935				
460	0.28224				
461	0.21999				
462	0.19945000000000002				
463	0.22071000000000002				
464	0.23754999999999998				
465	0.25357				
466	0.27718				
467	0.28101				
468	0.28575				
469	0.25814				
470	0.20849				
471	0.20416				
472	0.21096				
473	0.1739				
474	0.10798				
475	0.03157				
476	0.01207				
477	0.006540000000000001				
478	0.00538				
479	0.00529				
480	0.0079				
481	0.01094				
482	0.01614				
483	0.0159				
484	0.011279999999999998				
485	0.0062900000000000005				
486	0.00345				
487	0.00218				
488	0.0016300000000000002				
489	0.0020599999999999998				
490	0.0023799999999999997				
491	0.00359				
492	0.00579				
493	0.00772				
494	0.0098				
495	0.00964				
496	0.00898				
497	0.00741				
498	0.0072				
499	0.00797				
500	0.00994				
501	0.01324				
502	0.01467				
503	0.01361				
504	0.01159				
505	0.00904				
506	0.00716				
507	0.0063				
508	0.0051400000000000005				
509	0.00442				
510	0.0030399999999999997				
511	0.0017399999999999998				
512	0.0013800000000000002				
513	0.00058				
514	0.00089				
515	0.0003				
516	0.00091				
517	0.00052				
518	0.00104				
519	0.00106				
520	0.0011200000000000001				
521	0.00256				
522	0.00523				
523	0.010069999999999999				
524	0.011080000000000001				
525	0.01031				
526	0.00749				
527	0.00592				
528	0.0040999999999999995				
529	0.00333				
530	0.0022500000000000003				
531	0.0014199999999999998				
532	0.00127				
533	0.0014199999999999998				
534	0.0020399999999999997				
535	0.00228				
536	0.00313				
537	0.00462				
538	0.00738				
539	0.011859999999999999				
540	0.02297				
541	0.049729999999999996				
542	0.087				
543	0.15711				
544	0.22799				
545	0.29288000000000003				
546	0.35292				
547	0.3943				
548	0.42936				
549	0.49622999999999995				
550	0.59628				
551	0.70525				
552	0.8216100000000001				
553	0.897				
554	0.92613				
555	0.9349200000000001				
556	0.9339				
557	0.93191				
558	0.93342				
559	0.93136				
560	0.93215				
561	0.93408				
562	0.93451				
563	0.9351900000000001				
564	0.93444				
565	0.9365399999999999				
566	0.9356699999999999				
567	0.9349500000000001				
568	0.9331499999999999				
569	0.93593				
570	0.93499				
571	0.93527				
572	0.93716				
573	0.93971				
574	0.93821				
575	0.93836				
576	0.93688				
577	0.9392900000000001				
578	0.9383499999999999				
579	0.9377200000000001				
580	0.9382299999999999				
581	0.9365300000000001				
582	0.93841				
583	0.93476				
584	0.9331499999999999				
585	0.93562				
586	0.9349299999999999				
587	0.93411				
588	0.9349500000000001				
589	0.9354600000000001				
590	0.93766				
591	0.93688				
592	0.93767				
593	0.93841				
594	0.93771				
595	0.9379500000000001				
596	0.93716				
597	0.93816				
598	0.93902				
599	0.93637				
600	0.93042				
601	0.9205200000000001				
602	0.89846				
603	0.85636				
604	0.79676				
605	0.7186199999999999				
606	0.65683				
607	0.5654699999999999				
608	0.48051				
609	0.40354				
610	0.34581				
611	0.30173				
612	0.27063				
613	0.2482				
614	0.23623999999999998				
615	0.23284				
616	0.23983000000000002				
617	0.25358				
618	0.28379				
619	0.33014000000000004				
620	0.37327				
621	0.42262				
622	0.45524000000000003				
623	0.44917999999999997				
624	0.4019				
625	0.34997999999999996				
626	0.28669				
627	0.22559				
628	0.18105000000000002				
629	0.14991				
630	0.12784				
631	0.11557				
632	0.10721				
633	0.10656				
634	0.10942				
635	0.12167				
636	0.13844				
637	0.17343				
638	0.23918				
639	0.34061				
640	0.44598				
641	0.52472				
642	0.5532				
643	0.52104				
644	0.42751				
645	0.31829				
646	0.23674				
647	0.18198				
648	0.1506				
649	0.12652				
650	0.1127				
