Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
550	0.0	#838383	Omega	695AF35/25R Bandpass	W4856
551	0.0				
552	0.0				
553	0.0				
554	0.0				
555	0.0				
556	0.0				
557	1e-05				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	1e-05				
563	1e-05				
564	0.0				
565	2e-05				
566	0.0				
567	0.0				
568	0.0				
569	0.0				
570	0.0				
571	2e-05				
572	2e-05				
573	0.0				
574	0.0				
575	0.0				
576	1e-05				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	1e-05				
584	0.0				
585	0.0				
586	2e-05				
587	0.0				
588	0.0				
589	4e-05				
590	0.0				
591	0.0				
592	1e-05				
593	0.0				
594	0.0				
595	0.0				
596	3e-05				
597	3e-05				
598	2e-05				
599	0.0				
600	0.0				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	2e-05				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	2e-05				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	2e-05				
620	2e-05				
621	0.0				
622	0.0				
623	2e-05				
624	0.0				
625	0.0				
626	2e-05				
627	1e-05				
628	1e-05				
629	1e-05				
630	3e-05				
631	2e-05				
632	2e-05				
633	1e-05				
634	4e-05				
635	0.0				
636	0.0				
637	6e-05				
638	0.0				
639	1e-05				
640	1e-05				
641	4e-05				
642	4e-05				
643	2e-05				
644	2e-05				
645	1e-05				
646	2e-05				
647	0.0				
648	0.0				
649	0.0				
650	1e-05				
651	0.0				
652	0.0				
653	0.0				
654	2e-05				
655	0.0				
656	1e-05				
657	0.0				
658	0.0				
659	1e-05				
660	0.0				
661	2e-05				
662	3e-05				
663	0.0				
664	1e-05				
665	3e-05				
666	0.0				
667	0.0				
668	0.0				
669	2e-05				
670	2e-05				
671	7.000000000000001e-05				
672	0.0001				
673	0.00027				
674	0.00124				
675	0.006979999999999999				
676	0.04827				
677	0.28115				
678	0.7464799999999999				
679	0.9445				
680	0.97438				
681	0.97812				
682	0.9757899999999999				
683	0.97807				
684	0.98125				
685	0.98331				
686	0.98407				
687	0.98468				
688	0.9830800000000001				
689	0.98251				
690	0.9819199999999999				
691	0.98422				
692	0.98462				
693	0.98258				
694	0.97894				
695	0.97555				
696	0.9743600000000001				
697	0.9754600000000001				
698	0.97848				
699	0.98213				
700	0.9828100000000001				
701	0.9832500000000001				
702	0.9833700000000001				
703	0.98241				
704	0.98292				
705	0.98332				
706	0.98292				
707	0.9825499999999999				
708	0.98248				
709	0.98399				
710	0.9831799999999999				
711	0.97753				
712	0.95536				
713	0.8837999999999999				
714	0.71232				
715	0.45876				
716	0.2396				
717	0.11227999999999999				
718	0.05244				
719	0.02572				
720	0.01366				
721	0.00776				
722	0.0047599999999999995				
723	0.00308				
724	0.0021				
725	0.00153				
726	0.00121				
727	0.00095				
728	0.0008699999999999999				
729	0.00075				
730	0.00078				
731	0.0007199999999999999				
732	0.0008				
733	0.0007099999999999999				
734	0.00061				
735	0.00046				
736	0.00033				
737	0.0002				
738	0.00013				
739	0.00012				
740	3e-05				
741	6e-05				
742	4e-05				
743	3e-05				
744	3e-05				
745	4e-05				
746	1e-05				
747	1e-05				
748	0.0				
749	4e-05				
750	0.0				
751	2e-05				
752	5e-05				
753	1e-05				
754	2e-05				
755	1e-05				
756	2e-05				
757	0.0				
758	0.0				
759	0.0				
760	0.0				
761	0.0				
762	0.0				
763	0.0				
764	0.0				
765	0.0				
766	0.0				
767	2e-05				
768	0.0				
769	0.0				
770	0.0				
771	0.0				
772	1e-05				
773	0.0				
774	3e-05				
775	0.0				
776	1e-05				
777	0.0				
778	0.0				
779	0.0				
780	0.0				
781	0.0				
782	4e-05				
783	0.0				
784	0.0				
785	0.0				
786	0.0				
787	0.0				
788	1e-05				
789	0.0				
790	0.0				
791	0.0				
792	0.0				
793	0.0				
794	0.0				
795	0.0				
796	1e-05				
797	0.0				
798	0.0				
799	0.0				
800	0.0				
801	0.0				
802	1e-05				
803	0.0				
804	0.0				
805	0.0				
806	0.0				
807	0.0				
808	0.0				
809	1e-05				
810	0.0				
811	0.0				
812	0.0				
813	1e-05				
814	5e-05				
815	0.0				
816	2e-05				
817	3e-05				
818	0.0				
819	1e-05				
820	0.0				
821	3e-05				
822	2e-05				
823	1e-05				
824	0.0				
825	0.0				
826	0.0				
827	0.0				
828	0.0				
829	1e-05				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	0.0				
836	0.0				
837	0.0				
838	1e-05				
839	0.0				
840	0.0				
841	0.0				
842	0.0				
843	0.0				
844	0.0				
845	0.0				
846	2e-05				
847	0.0				
848	0.0				
849	0.0				
850	0.0				
