Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
600	2e-05	#838383	Omega	690BP30-3.5X90MM Bandpass	W4910
601	1e-05				
602	0.0				
603	5e-05				
604	0.0001				
605	5e-05				
606	1e-05				
607	0.0				
608	0.0				
609	1e-05				
610	2e-05				
611	1e-05				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	2e-05				
618	5e-05				
619	2e-05				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	7.000000000000001e-05				
628	0.00014000000000000001				
629	0.0001				
630	5e-05				
631	2e-05				
632	0.0				
633	0.0				
634	0.0				
635	2e-05				
636	5e-05				
637	2e-05				
638	0.0				
639	3e-05				
640	6e-05				
641	3e-05				
642	0.0				
643	1e-05				
644	2e-05				
645	6e-05				
646	0.0001				
647	5e-05				
648	0.0				
649	0.0				
650	0.0				
651	4e-05				
652	8e-05				
653	7.000000000000001e-05				
654	7.000000000000001e-05				
655	3e-05				
656	0.0				
657	3e-05				
658	5e-05				
659	8e-05				
660	0.0001				
661	5e-05				
662	0.0				
663	0.0				
664	0.0				
665	8e-05				
666	0.00017				
667	0.00024				
668	0.00031				
669	0.00127				
670	0.00223				
671	0.01264				
672	0.023039999999999998				
673	0.10362				
674	0.18420000000000003				
675	0.38176000000000004				
676	0.5793200000000001				
677	0.70009				
678	0.82086				
679	0.8384				
680	0.85595				
681	0.85098				
682	0.84602				
683	0.85143				
684	0.8568399999999999				
685	0.87239				
686	0.88794				
687	0.89806				
688	0.90818				
689	0.90931				
690	0.9104399999999999				
691	0.9116				
692	0.91276				
693	0.91491				
694	0.91706				
695	0.9184				
696	0.9197299999999999				
697	0.92085				
698	0.92196				
699	0.9196500000000001				
700	0.9173399999999999				
701	0.90404				
702	0.89074				
703	0.8830800000000001				
704	0.87542				
705	0.8104399999999999				
706	0.74546				
707	0.51217				
708	0.27888				
709	0.15710000000000002				
710	0.03533				
711	0.01986				
712	0.00439				
713	0.0025700000000000002				
714	0.0007599999999999999				
715	0.00052				
716	0.00028000000000000003				
717	0.00014000000000000001				
718	0.0				
719	2e-05				
720	3e-05				
721	8e-05				
722	0.00012				
723	8e-05				
724	4e-05				
725	0.00012				
726	0.00018999999999999998				
727	0.00013				
728	6e-05				
729	3e-05				
730	0.0				
731	3e-05				
732	7.000000000000001e-05				
733	6e-05				
734	5e-05				
735	4e-05				
736	4e-05				
737	6e-05				
738	8e-05				
739	8.999999999999999e-05				
740	0.0001				
741	8.999999999999999e-05				
742	8e-05				
743	5e-05				
744	1e-05				
745	3e-05				
746	5e-05				
747	2e-05				
748	0.0				
749	1e-05				
750	2e-05				
751	1e-05				
752	0.0				
753	4e-05				
754	8e-05				
755	8e-05				
756	7.000000000000001e-05				
757	4e-05				
758	1e-05				
759	2e-05				
760	3e-05				
761	4e-05				
762	6e-05				
763	3e-05				
764	1e-05				
765	6e-05				
766	0.0001				
767	5e-05				
768	1e-05				
769	0.0				
770	0.0				
771	4e-05				
772	8e-05				
773	8e-05				
774	8e-05				
775	0.00021				
776	0.00035000000000000005				
777	0.00021				
778	7.000000000000001e-05				
779	7.000000000000001e-05				
780	8e-05				
781	5e-05				
782	2e-05				
783	0.0001				
784	0.00017999999999999998				
785	0.00018999999999999998				
786	0.00021				
787	0.0001				
788	0.0				
789	4e-05				
790	8e-05				
791	8e-05				
792	7.000000000000001e-05				
793	4e-05				
794	0.0				
795	0.0				
796	0.0				
797	0.0				
798	0.0				
799	5e-05				
800	0.00010999999999999999				
