Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.0	#838383	Omega	500BP50-23.9MMD Bandpass	W5139
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	1e-05				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	1e-05				
423	0.0				
424	3e-05				
425	0.0				
426	1e-05				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	2e-05				
437	0.0				
438	0.0				
439	0.0				
440	3e-05				
441	0.0				
442	0.0				
443	0.0				
444	1e-05				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	3e-05				
451	1e-05				
452	0.0				
453	1e-05				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	1e-05				
459	0.0				
460	4e-05				
461	4e-05				
462	5e-05				
463	6e-05				
464	8.999999999999999e-05				
465	0.00018999999999999998				
466	0.00034				
467	0.0008				
468	0.00154				
469	0.00269				
470	0.00428				
471	0.00755				
472	0.0163				
473	0.04216				
474	0.10734				
475	0.20528				
476	0.30553				
477	0.45474				
478	0.6847799999999999				
479	0.8806				
480	0.94556				
481	0.9501999999999999				
482	0.95562				
483	0.95661				
484	0.95163				
485	0.94855				
486	0.9485899999999999				
487	0.95403				
488	0.95651				
489	0.95807				
490	0.9568300000000001				
491	0.9511799999999999				
492	0.94906				
493	0.95062				
494	0.95589				
495	0.9591				
496	0.9567				
497	0.95116				
498	0.9499				
499	0.95109				
500	0.95307				
501	0.95514				
502	0.95186				
503	0.95312				
504	0.95363				
505	0.9521299999999999				
506	0.95294				
507	0.95331				
508	0.95502				
509	0.95548				
510	0.95423				
511	0.95286				
512	0.95124				
513	0.95211				
514	0.95372				
515	0.95336				
516	0.95113				
517	0.94794				
518	0.9465399999999999				
519	0.94722				
520	0.9464100000000001				
521	0.94597				
522	0.9448099999999999				
523	0.93754				
524	0.9071899999999999				
525	0.78592				
526	0.53755				
527	0.28258				
528	0.12787				
529	0.057859999999999995				
530	0.028530000000000003				
531	0.01548				
532	0.009000000000000001				
533	0.00559				
534	0.00365				
535	0.00242				
536	0.00158				
537	0.001				
538	0.0006900000000000001				
539	0.00039				
540	0.00027				
541	0.00012				
542	0.0001				
543	8.999999999999999e-05				
544	0.0				
545	3e-05				
546	1e-05				
547	0.0				
548	1e-05				
549	3e-05				
550	1e-05				
551	7.000000000000001e-05				
552	3e-05				
553	1e-05				
554	0.0				
555	0.0				
556	0.0				
557	0.0				
558	0.0				
559	0.0				
560	0.0				
561	0.0				
562	0.0				
563	2e-05				
564	0.0				
565	0.0				
566	2e-05				
567	0.0				
568	0.0				
569	0.0				
570	2e-05				
571	0.0				
572	2e-05				
573	0.0				
574	6e-05				
575	0.0				
576	0.0				
577	2e-05				
578	0.0				
579	0.0				
580	1e-05				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	1e-05				
593	0.0				
594	0.0				
595	3e-05				
596	0.0				
597	0.0				
598	1e-05				
599	0.0				
600	0.0				
