Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
680	0.0	#838383	Omega	780AGLP Longpass	W5147
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	3e-05				
687	0.0				
688	0.0				
689	3e-05				
690	0.0				
691	0.0				
692	0.0				
693	0.0				
694	0.0				
695	0.0				
696	3e-05				
697	2e-05				
698	2e-05				
699	0.0				
700	1e-05				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.0				
712	3e-05				
713	0.0				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	1e-05				
720	0.0				
721	0.0				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	1e-05				
727	1e-05				
728	4e-05				
729	4e-05				
730	0.0				
731	2e-05				
732	0.0				
733	3e-05				
734	0.0				
735	1e-05				
736	1e-05				
737	0.0				
738	1e-05				
739	0.0				
740	0.0				
741	0.0				
742	0.0				
743	1e-05				
744	0.0				
745	0.0				
746	0.0				
747	0.0				
748	3e-05				
749	0.0				
750	1e-05				
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.0				
756	2e-05				
757	1e-05				
758	4e-05				
759	0.0				
760	1e-05				
761	0.0				
762	2e-05				
763	5e-05				
764	5e-05				
765	4e-05				
766	0.00012				
767	0.00017999999999999998				
768	0.00029				
769	0.00052				
770	0.0008799999999999999				
771	0.00161				
772	0.00294				
773	0.00571				
774	0.01126				
775	0.023319999999999997				
776	0.05				
777	0.10975				
778	0.23446999999999998				
779	0.44702				
780	0.69549				
781	0.86453				
782	0.9189400000000001				
783	0.92051				
784	0.9185500000000001				
785	0.91786				
786	0.9222400000000001				
787	0.92634				
788	0.9292100000000001				
789	0.9299200000000001				
790	0.9278400000000001				
791	0.92913				
792	0.92979				
793	0.92671				
794	0.92854				
795	0.92861				
796	0.9304600000000001				
797	0.92916				
798	0.92947				
799	0.92926				
800	0.9284399999999999				
801	0.92904				
802	0.93098				
803	0.93078				
804	0.9303199999999999				
805	0.92963				
806	0.93039				
807	0.932				
808	0.9312				
809	0.93122				
810	0.93176				
811	0.9301999999999999				
812	0.92899				
813	0.92914				
814	0.9294100000000001				
815	0.9277				
816	0.9269799999999999				
817	0.9281				
818	0.92824				
819	0.92667				
820	0.92753				
821	0.9285599999999999				
822	0.92861				
823	0.93065				
824	0.93026				
825	0.93188				
826	0.93054				
827	0.9308				
828	0.93124				
829	0.9324899999999999				
830	0.92903				
831	0.92746				
832	0.92729				
833	0.92699				
834	0.92686				
835	0.9254600000000001				
836	0.9253199999999999				
837	0.9269				
838	0.9278				
839	0.92833				
840	0.9257899999999999				
841	0.93093				
842	0.92712				
843	0.92932				
844	0.92849				
845	0.92962				
846	0.93065				
847	0.9339				
848	0.9274800000000001				
849	0.93001				
850	0.93144				
851	0.9305				
852	0.9303100000000001				
853	0.9268000000000001				
854	0.92783				
855	0.9305				
856	0.9300499999999999				
857	0.92876				
858	0.9281100000000001				
859	0.9315300000000001				
860	0.93024				
861	0.932				
862	0.92325				
863	0.9266				
864	0.9267799999999999				
865	0.9317700000000001				
866	0.93377				
867	0.93958				
868	0.9247799999999999				
869	0.9338200000000001				
870	0.9292900000000001				
871	0.927				
872	0.9244				
873	0.9276300000000001				
874	0.92337				
875	0.92565				
876	0.92565				
877	0.9258700000000001				
878	0.9320999999999999				
879	0.9256399999999999				
880	0.9377599999999999				
881	0.93229				
882	0.92782				
883	0.92675				
884	0.92446				
885	0.9292900000000001				
886	0.93018				
887	0.9195				
888	0.9326099999999999				
889	0.93679				
890	0.92094				
891	0.91583				
892	0.9312				
893	0.9409000000000001				
894	0.9230700000000001				
895	0.92367				
896	0.91833				
897	0.93674				
898	0.9326399999999999				
899	0.93592				
900	0.94121				
