Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	4e-05	#838383	Omega	350BP33 (UNBLOCKED) Bandpass	W5148
301	3e-05				
302	3e-05				
303	3e-05				
304	3e-05				
305	3e-05				
306	4e-05				
307	5e-05				
308	3e-05				
309	3e-05				
310	4e-05				
311	3e-05				
312	1e-05				
313	4e-05				
314	4e-05				
315	4e-05				
316	5e-05				
317	3e-05				
318	3e-05				
319	3e-05				
320	4e-05				
321	5e-05				
322	5e-05				
323	4e-05				
324	6e-05				
325	8e-05				
326	0.00012				
327	0.00018999999999999998				
328	0.00032				
329	0.00055				
330	0.00106				
331	0.00218				
332	0.004739999999999999				
333	0.01085				
334	0.026080000000000002				
335	0.0647				
336	0.15244				
337	0.29634				
338	0.46007				
339	0.5646				
340	0.6189399999999999				
341	0.65713				
342	0.6909000000000001				
343	0.7125199999999999				
344	0.71595				
345	0.7064400000000001				
346	0.69533				
347	0.6928799999999999				
348	0.7001999999999999				
349	0.70139				
350	0.71919				
351	0.73167				
352	0.73453				
353	0.7258199999999999				
354	0.70907				
355	0.6893699999999999				
356	0.6719700000000001				
357	0.66184				
358	0.6599200000000001				
359	0.66569				
360	0.67605				
361	0.68607				
362	0.6927800000000001				
363	0.6974800000000001				
364	0.70673				
365	0.7233799999999999				
366	0.7253700000000001				
367	0.6554099999999999				
368	0.48680999999999996				
369	0.28911000000000003				
370	0.14218				
371	0.06539				
372	0.031				
373	0.01555				
374	0.00835				
375	0.00479				
376	0.00291				
377	0.0018599999999999999				
378	0.00126				
379	0.0008699999999999999				
380	0.00061				
381	0.00043999999999999996				
382	0.00035999999999999997				
383	0.00028000000000000003				
384	0.00021999999999999998				
385	0.00017999999999999998				
386	0.00015				
387	0.00012				
388	0.00012				
389	0.0001				
390	8e-05				
391	8.999999999999999e-05				
392	8.999999999999999e-05				
393	6e-05				
394	5e-05				
395	7.000000000000001e-05				
396	7.000000000000001e-05				
397	5e-05				
398	5e-05				
399	7.000000000000001e-05				
400	7.000000000000001e-05				
401	5e-05				
402	6e-05				
403	5e-05				
404	6e-05				
405	6e-05				
406	6e-05				
407	6e-05				
408	6e-05				
409	7.000000000000001e-05				
410	6e-05				
411	5e-05				
412	7.000000000000001e-05				
413	8e-05				
414	8e-05				
415	8.999999999999999e-05				
416	8e-05				
417	0.0001				
418	0.00012				
419	0.00012				
420	0.00015				
421	0.00016				
422	0.00018999999999999998				
423	0.00024				
424	0.00026				
425	0.00032				
