Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	500QM25 Bandpass	W5704
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	1e-05				
309	1e-05				
310	0.0				
311	0.0				
312	0.0				
313	1e-05				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	1e-05				
323	0.0				
324	1e-05				
325	0.0				
326	0.0				
327	0.0				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.0				
333	0.0				
334	0.0				
335	0.0				
336	1e-05				
337	0.0				
338	0.0				
339	1e-05				
340	0.0				
341	0.0				
342	0.0				
343	0.0				
344	0.0				
345	1e-05				
346	0.0				
347	0.0				
348	0.0				
349	0.0				
350	1e-05				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	1e-05				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	3e-05				
385	0.0				
386	0.0				
387	0.0				
388	3e-05				
389	0.0				
390	1e-05				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	2e-05				
397	0.0				
398	0.0				
399	0.0				
400	2e-05				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	1e-05				
409	0.0				
410	1e-05				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	2e-05				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	1e-05				
425	0.0				
426	0.0				
427	0.0				
428	2e-05				
429	0.0				
430	0.0				
431	2e-05				
432	0.0				
433	3e-05				
434	0.0				
435	0.0				
436	0.0				
437	2e-05				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	2e-05				
446	1e-05				
447	1e-05				
448	1e-05				
449	0.0				
450	0.0				
451	0.0				
452	2e-05				
453	0.0				
454	1e-05				
455	3e-05				
456	0.0				
457	2e-05				
458	0.0				
459	3e-05				
460	0.0				
461	2e-05				
462	1e-05				
463	0.0				
464	1e-05				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	3e-05				
470	5e-05				
471	1e-05				
472	0.0				
473	4e-05				
474	7.000000000000001e-05				
475	0.00012				
476	0.00017999999999999998				
477	0.00025				
478	0.00052				
479	0.0010199999999999999				
480	0.0022400000000000002				
481	0.00588				
482	0.016120000000000002				
483	0.04951				
484	0.16773				
485	0.49404000000000003				
486	0.8703400000000001				
487	0.9594				
488	0.95596				
489	0.96543				
490	0.97225				
491	0.97816				
492	0.9845099999999999				
493	0.9781799999999999				
494	0.9638599999999999				
495	0.95422				
496	0.95503				
497	0.9616800000000001				
498	0.97052				
499	0.97866				
500	0.98051				
501	0.9737699999999999				
502	0.96616				
503	0.96482				
504	0.9732500000000001				
505	0.9777899999999999				
506	0.9665300000000001				
507	0.94511				
508	0.92363				
509	0.79041				
510	0.31979				
511	0.0478				
512	0.006770000000000001				
513	0.00128				
514	0.00028000000000000003				
515	8e-05				
516	6e-05				
517	4e-05				
518	3e-05				
519	0.0				
520	2e-05				
521	2e-05				
522	0.0				
523	2e-05				
524	0.0				
525	0.0				
526	0.0				
527	0.0				
528	0.0				
