Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
740	0.0	#838383	Omega	787.4BP10 Bandpass	W6047
741	0.0				
742	0.0				
743	0.0				
744	0.0				
745	0.0				
746	0.0				
747	0.0				
748	0.0				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.0				
754	0.0				
755	0.0				
756	0.0				
757	0.0				
758	0.0				
759	0.0				
760	0.0				
761	0.0				
762	0.0				
763	1e-05				
764	3e-05				
765	6e-05				
766	8.999999999999999e-05				
767	0.00014000000000000001				
768	0.00021999999999999998				
769	0.00032				
770	0.00047				
771	0.0007000000000000001				
772	0.00108				
773	0.00167				
774	0.00269				
775	0.0045000000000000005				
776	0.00777				
777	0.0144				
778	0.02836				
779	0.06008				
780	0.13641				
781	0.30518999999999996				
782	0.5791299999999999				
783	0.81512				
784	0.89876				
785	0.91116				
786	0.9122100000000001				
787	0.9051600000000001				
788	0.89121				
789	0.88845				
790	0.8969				
791	0.82856				
792	0.58338				
793	0.29208				
794	0.12499				
795	0.0557				
796	0.026629999999999997				
797	0.01379				
798	0.00764				
799	0.0044800000000000005				
800	0.0027700000000000003				
801	0.00178				
802	0.00115				
803	0.00079				
804	0.00053				
805	0.00037				
806	0.00026				
807	0.00017				
808	0.00010999999999999999				
809	8e-05				
810	5e-05				
811	2e-05				
812	1e-05				
813	0.0				
814	0.0				
815	0.0				
816	0.0				
817	0.0				
818	0.0				
819	0.0				
820	0.0				
821	0.0				
822	0.0				
823	0.0				
824	0.0				
825	0.0				
826	0.0				
827	0.0				
828	0.0				
829	0.0				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	0.0				
836	0.0				
837	0.0				
838	0.0				
839	0.0				
840	0.0				
