Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
460	0.35129	#838383	Omega	33% SPECTRAL SHAPER Other	W6284
461	0.35141				
462	0.35106000000000004				
463	0.34991				
464	0.348				
465	0.34612000000000004				
466	0.34351				
467	0.341				
468	0.33816				
469	0.33494				
470	0.33199				
471	0.32907				
472	0.3265				
473	0.32364				
474	0.32112				
475	0.31856				
476	0.31615				
477	0.31443				
478	0.31236				
479	0.31062				
480	0.30883				
481	0.30744				
482	0.30593				
483	0.30498000000000003				
484	0.30398				
485	0.30325				
486	0.30265000000000003				
487	0.30221				
488	0.30213				
489	0.30188				
490	0.30191				
491	0.30223				
492	0.30296				
493	0.30385				
494	0.30477				
495	0.30612				
496	0.30798				
497	0.30991				
498	0.31184				
499	0.31434999999999996				
500	0.31714				
501	0.32051999999999997				
502	0.32411				
503	0.32799				
504	0.33248				
505	0.33744999999999997				
506	0.34246000000000004				
507	0.34832				
508	0.35456000000000004				
509	0.36183				
510	0.36883000000000005				
511	0.37692				
512	0.38545				
513	0.3946				
514	0.40432				
515	0.41514				
516	0.42642				
517	0.43777				
518	0.45048				
519	0.46368000000000004				
520	0.47792999999999997				
521	0.49234				
522	0.5081600000000001				
523	0.52429				
524	0.54108				
525	0.5588000000000001				
526	0.57738				
527	0.59597				
528	0.61573				
529	0.6348400000000001				
530	0.65495				
531	0.6755				
532	0.6961799999999999				
533	0.7171599999999999				
534	0.7368300000000001				
535	0.7573399999999999				
536	0.77744				
537	0.7965000000000001				
538	0.81432				
539	0.8325				
540	0.84894				
541	0.8646699999999999				
542	0.87862				
543	0.8920399999999999				
544	0.90429				
545	0.9146599999999999				
546	0.92432				
547	0.9327200000000001				
548	0.9391700000000001				
549	0.94521				
550	0.94987				
551	0.95378				
552	0.95654				
553	0.9582299999999999				
554	0.9586199999999999				
555	0.9594				
556	0.95848				
557	0.95831				
558	0.95703				
559	0.95557				
560	0.95478				
561	0.95312				
562	0.9509399999999999				
563	0.94863				
564	0.94706				
565	0.9462999999999999				
566	0.9442				
567	0.94363				
568	0.94186				
569	0.94021				
570	0.94036				
571	0.9396800000000001				
572	0.93849				
573	0.93878				
574	0.93822				
575	0.93836				
576	0.93879				
577	0.93891				
578	0.9396				
579	0.94015				
580	0.9411499999999999				
581	0.94184				
582	0.94285				
583	0.94282				
584	0.94455				
585	0.9455899999999999				
586	0.94674				
587	0.94785				
588	0.9483				
589	0.9498099999999999				
590	0.95083				
