Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.05573	#838383	Omega	"HPOIII - High Performance OIII (503BP12) 1.25"" Astronomy Filter Bandpass"	XAF-HPOIII125
401	0.05959				
402	0.067				
403	0.08066000000000001				
404	0.10458				
405	0.14859999999999998				
406	0.23555				
407	0.42036999999999997				
408	0.7281				
409	0.8708499999999999				
410	0.636				
411	0.3833				
412	0.25656				
413	0.20004000000000002				
414	0.18317				
415	0.20058				
416	0.27758				
417	0.50287				
418	0.7528				
419	0.40716				
420	0.12019				
421	0.04276				
422	0.019030000000000002				
423	0.009729999999999999				
424	0.00557				
425	0.0034699999999999996				
426	0.00223				
427	0.0015				
428	0.00108				
429	0.0008				
430	0.00061				
431	0.00046				
432	0.00035999999999999997				
433	0.00028000000000000003				
434	0.00025				
435	0.00018999999999999998				
436	0.00017				
437	0.00015				
438	0.00012				
439	0.0001				
440	8.999999999999999e-05				
441	0.0001				
442	8.999999999999999e-05				
443	7.000000000000001e-05				
444	6e-05				
445	0.0001				
446	8e-05				
447	5e-05				
448	5e-05				
449	5e-05				
450	6e-05				
451	6e-05				
452	7.000000000000001e-05				
453	7.000000000000001e-05				
454	5e-05				
455	4e-05				
456	6e-05				
457	4e-05				
458	7.000000000000001e-05				
459	6e-05				
460	6e-05				
461	7.000000000000001e-05				
462	8e-05				
463	8e-05				
464	8.999999999999999e-05				
465	7.000000000000001e-05				
466	0.00012				
467	0.00010999999999999999				
468	0.00010999999999999999				
469	0.00013				
470	0.00015				
471	0.00018999999999999998				
472	0.00021				
473	0.00024				
474	0.00028000000000000003				
475	0.00035999999999999997				
476	0.00043999999999999996				
477	0.00053				
478	0.00066				
479	0.00082				
480	0.00106				
481	0.00136				
482	0.00179				
483	0.00241				
484	0.00329				
485	0.0046700000000000005				
486	0.006690000000000001				
487	0.00986				
488	0.015149999999999999				
489	0.02416				
490	0.04025				
491	0.06972				
492	0.12663				
493	0.23436				
494	0.41904				
495	0.65693				
496	0.8534900000000001				
497	0.9320900000000001				
498	0.9349500000000001				
499	0.9221299999999999				
500	0.91997				
501	0.92904				
502	0.93818				
503	0.9437099999999999				
504	0.94242				
505	0.93868				
506	0.93434				
507	0.91649				
508	0.8563299999999999				
509	0.7226699999999999				
510	0.5288				
511	0.34292				
512	0.20721				
513	0.12386				
514	0.07588				
515	0.04771				
516	0.03092				
517	0.02088				
518	0.014539999999999999				
519	0.010329999999999999				
520	0.00754				
521	0.005659999999999999				
522	0.00432				
523	0.0033				
524	0.00264				
525	0.0021				
526	0.0017000000000000001				
