Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
400	0.038599999999999995	#838383	Omega	"HPOIII - High Performance OIII (503BP12) 2"" Astronomy Filter Bandpass"	XAF-HPOIII200
401	0.03981				
402	0.042859999999999995				
403	0.04883				
404	0.059269999999999996				
405	0.07857				
406	0.11348000000000001				
407	0.18594000000000002				
408	0.35070999999999997				
409	0.6608499999999999				
410	0.81317				
411	0.5606				
412	0.32093000000000005				
413	0.20568				
414	0.15738				
415	0.14159				
416	0.15227000000000002				
417	0.20655				
418	0.37978				
419	0.6983400000000001				
420	0.49016				
421	0.13934				
422	0.04596				
423	0.01944				
424	0.0097				
425	0.0054800000000000005				
426	0.00333				
427	0.00218				
428	0.00154				
429	0.001				
430	0.00078				
431	0.0006				
432	0.00043999999999999996				
433	0.00035999999999999997				
434	0.00026				
435	0.00026				
436	0.00021999999999999998				
437	0.00014000000000000001				
438	0.00014000000000000001				
439	8.999999999999999e-05				
440	0.00012				
441	0.00013				
442	0.0001				
443	5e-05				
444	6e-05				
445	0.0001				
446	7.000000000000001e-05				
447	0.00012				
448	0.00010999999999999999				
449	5e-05				
450	4e-05				
451	4e-05				
452	8e-05				
453	7.000000000000001e-05				
454	8.999999999999999e-05				
455	5e-05				
456	7.000000000000001e-05				
457	7.000000000000001e-05				
458	7.000000000000001e-05				
459	7.000000000000001e-05				
460	7.000000000000001e-05				
461	0.00010999999999999999				
462	8e-05				
463	0.00010999999999999999				
464	4e-05				
465	7.000000000000001e-05				
466	0.00012				
467	8.999999999999999e-05				
468	0.00012				
469	0.00017				
470	0.00018999999999999998				
471	0.00021				
472	0.0002				
473	0.00025				
474	0.00032				
475	0.00031				
476	0.00043999999999999996				
477	0.0005600000000000001				
478	0.00068				
479	0.00089				
480	0.0011				
481	0.0014199999999999998				
482	0.00191				
483	0.00254				
484	0.0035299999999999997				
485	0.00493				
486	0.00718				
487	0.010709999999999999				
488	0.01665				
489	0.026309999999999997				
490	0.04385				
491	0.07678				
492	0.1389				
493	0.25239				
494	0.44270000000000004				
495	0.68018				
496	0.8674				
497	0.9430299999999999				
498	0.95238				
499	0.94613				
500	0.94536				
501	0.94987				
502	0.951				
503	0.9493				
504	0.9457599999999999				
505	0.94788				
506	0.95474				
507	0.94756				
508	0.88275				
509	0.7230500000000001				
510	0.5028199999999999				
511	0.30919				
512	0.18059				
513	0.10624				
514	0.0645				
515	0.04026				
516	0.026230000000000003				
517	0.01782				
518	0.0124				
519	0.0088				
520	0.00649				
521	0.00486				
522	0.00369				
523	0.0028199999999999996				
524	0.00221				
525	0.0018				
526	0.00151				
527	0.00124				
528	0.0010199999999999999				
529	0.0008699999999999999				
530	0.00079				
531	0.00062				
532	0.00055				
533	0.00048				
534	0.00045				
535	0.00037				
536	0.00035000000000000005				
537	0.00034				
538	0.00027				
539	0.00023				
