Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.06570999999999999	#838383	Omega	485DF15 Bandpass	XF1042/25
301	0.061020000000000005				
302	0.10006999999999999				
303	0.1				
304	0.06461				
305	0.1				
306	0.1				
307	0.06956000000000001				
308	0.1				
309	0.06174				
310	0.06575				
311	0.061630000000000004				
312	0.1				
313	0.07054				
314	0.06591				
315	0.1				
316	0.06642				
317	0.06062				
318	0.1				
319	0.1				
320	0.1				
321	0.06652				
322	0.07017999999999999				
323	0.1				
324	0.06219				
325	0.09570000000000001				
326	0.1				
327	0.06197				
328	0.1				
329	0.06905				
330	0.06299				
331	0.1				
332	0.05961				
333	0.1				
334	0.1				
335	0.1				
336	0.1				
337	0.0617				
338	0.1				
339	0.06385				
340	0.07405				
341	0.06072				
342	0.1				
343	0.0584				
344	0.1				
345	0.1				
346	0.06091				
347	0.06846000000000001				
348	0.1				
349	0.07373				
350	0.1				
351	0.057830000000000006				
352	0.053399999999999996				
353	0.1				
354	0.1				
355	0.06773				
356	0.1				
357	0.1				
358	0.1				
359	0.06398				
360	0.06706000000000001				
361	0.1				
362	0.07002				
363	0.059500000000000004				
364	0.1				
365	0.1				
366	0.06129				
367	0.1				
368	0.06114				
369	0.1				
370	0.061509999999999995				
371	0.1				
372	0.1				
373	0.1				
374	0.06798				
375	0.1				
376	0.06464				
377	0.0664				
378	0.06492				
379	0.1				
380	0.06793				
381	0.1				
382	0.06326999999999999				
383	0.1				
384	0.1				
385	0.06295				
386	0.07146				
387	0.07032				
388	0.06646				
389	0.07343				
390	0.06857				
391	0.1				
392	0.06779				
393	0.1				
394	0.06892000000000001				
395	0.1				
396	0.06405				
397	0.1				
398	0.1				
399	0.1				
400	0.06251999999999999				
401	0.1				
402	0.06863000000000001				
403	0.06781				
404	0.06929				
405	0.06872				
406	0.0654				
407	0.06938				
408	0.08148999999999999				
409	0.1				
410	0.07166				
411	0.06927				
412	0.1				
413	0.1				
414	0.06842				
415	0.06427				
416	0.1				
417	0.1				
418	0.06598				
419	0.06858				
420	0.1				
421	0.06785000000000001				
422	0.06781				
423	0.1				
424	0.1				
425	0.1				
426	0.07683				
427	0.1				
428	0.07336999999999999				
429	0.1				
430	0.1				
431	0.06863999999999999				
432	0.1				
433	0.06928				
434	0.0716				
435	0.06631999999999999				
436	0.1				
437	0.1				
438	0.07059				
439	0.0682				
440	0.1				
441	0.1				
442	0.077				
443	0.06543				
444	0.06279				
445	0.06367				
446	0.06626				
447	0.07165				
448	0.06932				
449	0.07363				
450	0.1				
451	0.06425				
452	0.1				
453	0.0716				
454	0.07684				
455	0.07678				
456	0.06519				
457	0.06732				
458	0.06251999999999999				
459	0.1				
460	0.06593				
461	0.06358				
462	0.06274				
463	0.07039				
464	0.06095				
465	0.061340000000000006				
466	0.05862				
467	0.05859				
468	0.05682				
469	0.05372				
470	0.05114				
471	0.04717				
472	0.042519999999999995				
473	0.03669				
474	0.0308				
475	0.02403				
476	0.015880000000000002				
477	0.00878				
478	0.0047599999999999995				
479	0.00296				
480	0.00223				
481	0.0017100000000000001				
482	0.00124				
483	0.0010299999999999999				
484	0.0010199999999999999				
485	0.00106				
486	0.00106				
487	0.0010199999999999999				
488	0.00098				
489	0.00105				
490	0.00145				
491	0.00378				
492	0.008159999999999999				
493	0.01168				
494	0.01514				
495	0.02212				
496	0.028399999999999998				
497	0.03379				
498	0.038650000000000004				
499	0.042809999999999994				
500	0.04662				
501	0.04984				
502	0.05239				
503	0.05485				
504	0.057190000000000005				
505	0.05743				
506	0.061130000000000004				
507	0.06289				
508	0.06089000000000001				
509	0.06791				
510	0.06431				
511	0.06189				
512	0.07661				
513	0.06315				
514	0.1				
515	0.0735				
516	0.06642				
517	0.0717				
518	0.06279				
519	0.1				
520	0.06799000000000001				
521	0.1				
522	0.1				
523	0.1				
524	0.1				
525	0.06645				
526	0.1				
527	0.07046000000000001				
528	0.07672				
529	0.06644				
530	0.1				
531	0.07676999999999999				
532	0.06869				
533	0.077				
534	0.07657				
535	0.1				
536	0.1				
537	0.06598				
538	0.06688				
539	0.1				
540	0.1				
541	0.06456				
542	0.06631999999999999				
543	0.1				
544	0.1				
545	0.06365				
546	0.07629999999999999				
547	0.06578				
548	0.1				
549	0.1				
550	0.1				
551	0.1				
552	0.1				
553	0.07158				
554	0.1				
555	0.1				
556	0.1				
557	0.1				
558	0.06938				
559	0.061829999999999996				
560	0.1				
561	0.1				
562	0.06486				
563	0.1				
564	0.1				
565	0.1				
566	0.07167				
567	0.06377				
568	0.0704				
569	0.1				
570	0.07655				
571	0.06807				
572	0.1				
573	0.1				
574	0.07029				
575	0.06587				
576	0.1				
577	0.1				
578	0.1				
579	0.06915				
580	0.1				
581	0.06537				
582	0.06198000000000001				
583	0.06831000000000001				
584	0.1				
585	0.1				
586	0.07658999999999999				
587	0.1				
588	0.06767000000000001				
589	0.06921000000000001				
590	0.06895				
591	0.1				
592	0.06447				
593	0.1				
594	0.1				
595	0.1				
596	0.067				
597	0.1				
598	0.1				
599	0.1				
600	0.0601				
601	0.07164				
602	0.1				
603	0.1				
604	0.06866				
605	0.06382				
606	0.1				
607	0.06665				
608	0.06703				
609	0.06418				
610	0.1				
611	0.1				
612	0.07057000000000001				
613	0.06867				
614	0.1				
615	0.06783				
616	0.1				
617	0.1				
618	0.1				
619	0.06912				
620	0.06348				
621	0.1				
622	0.0665				
623	0.1				
624	0.06208				
625	0.06434000000000001				
626	0.1				
627	0.06777				
628	0.1				
629	0.1				
630	0.0691				
631	0.06614				
632	0.1				
633	0.06629				
634	0.06517				
635	0.1				
636	0.1				
637	0.06804				
638	0.1				
639	0.07356				
640	0.1				
641	0.1				
642	0.1				
643	0.07345				
644	0.062430000000000006				
645	0.06289				
646	0.06263				
647	0.0633				
648	0.1				
649	0.1				
650	0.06656				
651	0.1				
652	0.07371				
653	0.1				
654	0.1				
655	0.1				
656	0.1				
657	0.06570000000000001				
658	0.1				
659	0.07183				
660	0.1				
661	0.06808				
662	0.06305				
663	0.06875				
664	0.1				
665	0.1				
666	0.06806				
667	0.06682				
668	0.06878999999999999				
669	0.1				
670	0.1				
671	0.06498999999999999				
672	0.07667				
673	0.1				
674	0.1				
675	0.06744				
676	0.1				
677	0.06934				
678	0.1				
679	0.06797				
680	0.07325				
681	0.1				
682	0.07162				
683	0.06371				
684	0.06536				
685	0.1				
686	0.1				
687	0.06394999999999999				
688	0.06437999999999999				
689	0.07332				
690	0.07052				
691	0.1				
692	0.06457				
693	0.06416000000000001				
694	0.06285				
695	0.06315				
696	0.06226				
697	0.06272				
698	0.06298				
699	0.06269				
700	0.06704				
701	0.062329999999999997				
702	0.060570000000000006				
703	0.061079999999999995				
704	0.06042				
705	0.05897				
706	0.05994				
707	0.059370000000000006				
708	0.05991				
709	0.060110000000000004				
710	0.05928				
711	0.059269999999999996				
712	0.05888				
713	0.0603				
714	0.059820000000000005				
715	0.0584				
716	0.06062				
717	0.05953				
718	0.05972				
719	0.06003				
720	0.0584				
721	0.05849				
722	0.058390000000000004				
723	0.05836				
724	0.05947				
725	0.06158				
726	0.060149999999999995				
727	0.06139				
728	0.05969				
729	0.05965				
730	0.06279				
731	0.059519999999999997				
732	0.06034				
733	0.06274				
734	0.05945				
735	0.05972				
736	0.06111				
737	0.062220000000000004				
738	0.060540000000000004				
739	0.06084				
740	0.05862				
741	0.06208				
742	0.061529999999999994				
743	0.05989				
744	0.059359999999999996				
745	0.058289999999999995				
746	0.05666				
747	0.05766				
748	0.06017				
749	0.05899				
750	0.05899				
751	0.060110000000000004				
752	0.06017				
753	0.06193				
754	0.05974				
755	0.06317				
756	0.0629				
757	0.058769999999999996				
758	0.06729				
759	0.0584				
760	0.061079999999999995				
761	0.05944				
762	0.1				
763	0.05957				
764	0.06089000000000001				
765	0.06293				
766	0.05962				
767	0.060439999999999994				
768	0.05822				
769	0.060629999999999996				
770	0.059109999999999996				
771	0.06304				
772	0.06255				
773	0.1				
774	0.06537				
775	0.06530999999999999				
776	0.06299				
777	0.06138				
778	0.06548				
779	0.05939				
780	0.1				
781	0.1				
782	0.1				
783	0.06123				
784	0.06103				
785	0.1				
786	0.1				
787	0.1				
788	0.1				
789	0.062430000000000006				
790	0.1				
791	0.1				
792	0.06109				
793	0.06644				
794	0.1				
795	0.1				
796	0.058949999999999995				
797	0.1				
798	0.1				
799	0.1				
800	0.06426				
801	0.06722				
802	0.056580000000000005				
803	0.06317				
804	0.06535				
805	0.1				
806	0.1				
807	0.1				
808	0.1				
809	0.1				
810	0.1				
811	0.1				
812	0.06716				
813	0.06337				
814	0.1				
815	0.06112				
816	0.1				
817	0.1				
818	0.1				
819	0.059359999999999996				
820	0.06258				
821	0.1				
822	0.1				
823	0.1				
824	0.062119999999999995				
825	0.1				
826	0.1				
827	0.06569				
828	0.1				
829	0.056760000000000005				
830	0.057980000000000004				
831	0.057190000000000005				
832	0.1				
833	0.1				
834	0.057350000000000005				
835	0.05391				
836	0.060570000000000006				
837	0.05514				
838	0.06942999999999999				
839	0.05588				
840	0.050069999999999996				
841	0.07037				
842	0.08900000000000001				
843	0.06173				
844	0.1				
845	0.06132				
846	0.052270000000000004				
847	0.1				
848	0.04926				
849	0.055220000000000005				
850	0.05714				
851	0.05669				
852	0.1				
853	0.1				
854	0.1				
855	0.048010000000000004				
856	0.1				
857	0.052309999999999995				
858	0.04812				
859	0.054560000000000004				
860	0.1				
861	0.1				
862	0.1				
863	0.055170000000000004				
864	0.04622				
865	0.1				
866	0.05473				
867	0.1				
868	0.046950000000000006				
869	0.1				
870	0.04565				
871	0.04718				
872	0.1				
873	0.1				
874	0.1				
875	0.1				
876	0.044610000000000004				
877	0.1				
878	0.04139				
879	0.1				
880	0.061040000000000004				
881	0.1				
882	0.1				
883	0.05963				
884	0.1				
885	0.1				
886	0.06784				
887	0.1				
888	0.06339				
889	0.1				
890	0.1				
891	0.1				
892	0.06324				
893	0.05946				
894	0.1				
895	0.1				
896	0.07171				
897	0.1				
898	0.06434999999999999				
899	0.1				
900	0.06036				
901	0.1				
902	0.1				
903	0.061470000000000004				
904	0.06299				
905	0.06763				
906	0.1				
907	0.06242				
908	0.06860000000000001				
909	0.06838				
910	0.1				
911	0.1				
912	0.06702				
913	0.1				
914	0.1				
915	0.06138				
916	0.06078				
917	0.1				
918	0.06745				
919	0.06494				
920	0.07875				
921	0.1				
922	0.05965				
