Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	2e-05	#838383	Omega	340AF15 Bandpass	XF1093/25
301	0.0				
302	5e-05				
303	1e-05				
304	4e-05				
305	4e-05				
306	3e-05				
307	7.000000000000001e-05				
308	7.000000000000001e-05				
309	0.00012				
310	0.00017				
311	0.00021999999999999998				
312	0.00041				
313	0.00074				
314	0.00117				
315	0.0017399999999999998				
316	0.00248				
317	0.00378				
318	0.0062				
319	0.011439999999999999				
320	0.02308				
321	0.047720000000000005				
322	0.09587999999999999				
323	0.17581				
324	0.28704				
325	0.41007				
326	0.49857				
327	0.54179				
328	0.5666899999999999				
329	0.59297				
330	0.61064				
331	0.6091				
332	0.60358				
333	0.60219				
334	0.6082				
335	0.59874				
336	0.57914				
337	0.56488				
338	0.56702				
339	0.5678				
340	0.55716				
341	0.56735				
342	0.52534				
343	0.24515				
344	0.06654				
345	0.01991				
346	0.00735				
347	0.0034599999999999995				
348	0.00181				
349	0.0011899999999999999				
350	0.00082				
351	0.00057				
352	0.00042				
353	0.0003				
354	0.00014000000000000001				
355	8.999999999999999e-05				
356	5e-05				
357	3e-05				
358	3e-05				
359	2e-05				
360	0.0				
361	1e-05				
362	0.0				
363	3e-05				
364	0.0				
365	1e-05				
366	0.0				
367	1e-05				
368	1e-05				
369	1e-05				
370	3e-05				
371	1e-05				
372	0.0				
373	1e-05				
374	1e-05				
375	2e-05				
376	0.0				
377	0.0				
378	1e-05				
379	1e-05				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	2e-05				
392	1e-05				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	1e-05				
398	1e-05				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	3e-05				
407	0.0				
408	4e-05				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	1e-05				
415	1e-05				
416	1e-05				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	1e-05				
422	6e-05				
423	2e-05				
424	0.0				
425	0.0				
426	2e-05				
427	0.0				
428	0.0				
429	0.0				
430	1e-05				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	3e-05				
436	0.0				
437	2e-05				
438	1e-05				
439	1e-05				
440	0.0				
441	1e-05				
442	3e-05				
443	0.0				
444	2e-05				
445	1e-05				
446	0.0				
447	0.0				
448	0.0				
449	1e-05				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	1e-05				
455	0.0				
456	0.0				
457	1e-05				
458	0.0				
459	0.0				
460	1e-05				
461	0.0				
462	0.0				
463	1e-05				
464	3e-05				
465	1e-05				
466	2e-05				
467	0.0				
468	2e-05				
469	0.0				
470	1e-05				
471	0.0				
472	0.0				
473	2e-05				
474	1e-05				
475	0.0				
476	1e-05				
477	1e-05				
478	0.0				
479	1e-05				
480	0.0				
481	1e-05				
482	0.0				
483	0.0				
484	1e-05				
485	0.0				
486	0.0				
487	0.0				
488	3e-05				
489	0.0				
490	0.0				
491	0.0				
492	1e-05				
493	2e-05				
494	0.0				
495	1e-05				
496	0.0				
497	0.0				
498	1e-05				
499	2e-05				
500	0.0				
501	4e-05				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	1e-05				
508	2e-05				
509	1e-05				
510	0.0				
511	0.0				
512	1e-05				
513	1e-05				
514	0.0				
515	2e-05				
516	0.0				
517	1e-05				
518	1e-05				
519	0.0				
520	0.0				
521	0.0				
522	0.0				
523	0.0				
524	1e-05				
525	0.0				
526	0.0				
527	2e-05				
528	0.0				
529	2e-05				
530	0.0				
531	0.0				
532	0.0				
533	3e-05				
534	0.0				
535	0.0				
536	0.0				
537	0.0				
538	0.0				
539	2e-05				
540	4e-05				
541	2e-05				
542	0.0				
543	0.0				
544	0.0				
545	0.0				
546	0.0				
547	0.0				
548	0.0				
549	1e-05				
550	0.0				
551	0.0				
552	3e-05				
553	2e-05				
554	1e-05				
555	0.0				
556	0.0				
557	2e-05				
558	0.0				
559	1e-05				
560	1e-05				
561	0.0				
562	1e-05				
563	2e-05				
564	0.0				
565	0.0				
566	3e-05				
567	0.0				
568	0.0				
569	2e-05				
570	1e-05				
571	1e-05				
572	0.0				
573	0.0				
574	0.0				
575	1e-05				
576	0.0				
577	0.0				
578	0.0				
579	2e-05				
580	0.0				
581	0.0				
582	3e-05				
583	0.0				
584	2e-05				
585	0.0				
586	0.0				
587	2e-05				
588	2e-05				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	2e-05				
598	0.0				
599	0.0				
600	2e-05				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	1e-05				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	2e-05				
617	0.0				
618	0.0				
619	0.0				
620	1e-05				
621	0.0				
622	1e-05				
623	0.0				
624	2e-05				
625	2e-05				
626	0.0				
627	2e-05				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	1e-05				
633	0.0				
634	0.0				
635	0.0				
636	1e-05				
637	0.0				
638	0.0				
639	0.0				
640	2e-05				
641	4e-05				
642	1e-05				
643	0.0				
644	0.0				
645	2e-05				
646	0.0				
647	0.0				
648	0.0				
649	1e-05				
650	1e-05				
651	0.0				
652	0.0				
653	2e-05				
654	0.0				
655	1e-05				
656	0.0				
657	0.0				
658	0.0				
659	1e-05				
660	0.0				
661	2e-05				
662	0.0				
663	1e-05				
664	1e-05				
665	2e-05				
666	0.0				
667	1e-05				
668	0.0				
669	2e-05				
670	1e-05				
671	0.0				
672	0.0				
673	3e-05				
674	0.0				
675	2e-05				
676	0.0				
677	0.0				
678	1e-05				
679	0.0				
680	2e-05				
681	0.0				
682	0.0				
683	2e-05				
684	0.0				
685	0.0				
686	0.0				
687	2e-05				
688	0.0				
689	1e-05				
690	0.0				
691	1e-05				
692	1e-05				
693	0.0				
694	0.0				
695	0.0				
696	0.0				
697	0.0				
698	1e-05				
699	0.0				
700	1e-05				
701	1e-05				
702	2e-05				
703	0.0				
704	1e-05				
705	0.0				
706	0.0				
707	0.0				
708	1e-05				
709	1e-05				
710	0.0				
711	0.0				
712	0.0				
713	2e-05				
714	0.0				
715	0.0				
716	0.0				
717	0.0				
718	0.0				
719	2e-05				
720	0.0				
721	3e-05				
722	1e-05				
723	1e-05				
724	3e-05				
725	0.0				
726	3e-05				
727	0.0				
728	0.0				
729	0.0				
730	1e-05				
731	0.0				
732	0.0				
733	0.0				
734	0.0				
735	1e-05				
736	0.0				
737	2e-05				
738	0.0				
739	3e-05				
740	0.0				
741	0.0				
742	0.0				
743	2e-05				
744	2e-05				
745	1e-05				
746	3e-05				
747	1e-05				
748	1e-05				
749	0.0				
750	0.0				
751	0.0				
752	0.0				
753	0.0				
754	1e-05				
755	0.0				
756	2e-05				
757	3e-05				
758	0.0				
759	0.0				
760	1e-05				
761	0.0				
762	1e-05				
763	0.0				
764	0.0				
765	1e-05				
766	0.0				
767	0.0				
768	4e-05				
769	0.0				
770	0.0				
771	0.0				
772	0.0				
773	1e-05				
774	1e-05				
775	0.0				
776	0.0				
777	0.0				
778	0.0				
779	0.0				
780	0.0				
781	0.0				
782	1e-05				
783	1e-05				
784	0.0				
785	1e-05				
786	0.0				
787	0.0				
788	2e-05				
789	0.0				
790	2e-05				
791	2e-05				
792	0.0				
793	1e-05				
794	1e-05				
795	2e-05				
796	0.0				
797	0.0				
798	0.0				
799	0.0				
800	0.0				
801	0.0				
802	2e-05				
803	0.0				
804	1e-05				
805	0.0				
806	0.0				
807	1e-05				
808	0.0				
809	0.0				
810	1e-05				
811	1e-05				
812	0.0				
813	0.0				
814	0.0				
815	0.0				
816	1e-05				
817	0.0				
818	0.0				
819	0.0				
820	0.0				
821	0.0				
822	0.0				
823	1e-05				
824	0.0				
825	0.0				
826	0.0				
827	0.0				
828	0.0				
829	0.0				
830	1e-05				
831	0.0				
832	0.0				
833	1e-05				
834	2e-05				
835	0.0				
836	0.0				
837	1e-05				
838	1e-05				
839	2e-05				
840	2e-05				
841	0.0				
842	0.0				
843	0.0				
844	0.0				
845	0.0				
846	0.0				
847	1e-05				
848	1e-05				
849	0.0				
850	0.0				
851	0.0				
852	0.0				
853	0.0				
854	0.0				
855	1e-05				
856	1e-05				
857	0.0				
858	0.0				
859	0.0				
860	0.0				
861	0.0				
862	1e-05				
863	0.0				
864	4e-05				
865	0.0				
866	1e-05				
867	5e-05				
868	3e-05				
869	0.0				
870	1e-05				
871	0.0				
872	5e-05				
873	0.0				
874	0.0				
875	5e-05				
876	0.0				
877	0.0				
878	7.000000000000001e-05				
879	1e-05				
880	0.0				
881	4e-05				
882	0.0				
883	0.0				
884	0.0				
885	2e-05				
886	0.0				
887	0.0				
888	0.00027				
889	0.0				
890	5e-05				
891	0.0				
892	0.00010999999999999999				
893	0.0				
894	0.0				
895	0.0				
896	6e-05				
897	1e-05				
898	4e-05				
899	0.0				
900	0.0				
901	1e-05				
902	0.0				
903	0.00010999999999999999				
904	0.0				
905	0.0				
906	2e-05				
907	5e-05				
908	0.0				
909	0.0				
910	0.0				
911	0.00014000000000000001				
912	0.00015				
913	0.0				
914	0.00025				
915	0.0				
916	4e-05				
917	0.00021				
918	0.0				
919	0.0002				
920	3e-05				
921	3e-05				
922	0.0				
923	0.00014000000000000001				
924	0.00013				
925	0.0				
926	0.00032				
927	0.0				
928	0.00010999999999999999				
929	0.0				
930	0.0				
931	0.00023				
932	0.0				
933	0.0				
934	0.00021999999999999998				
935	7.000000000000001e-05				
936	0.0				
937	0.0				
938	6e-05				
939	0.0				
940	7.000000000000001e-05				
941	5e-05				
942	0.00010999999999999999				
943	5e-05				
944	0.0				
945	0.0				
946	0.00024				
947	0.0				
948	8.999999999999999e-05				
949	1e-05				
950	0.0				
951	0.0002				
952	0.0				
953	0.0				
954	0.00015				
955	0.0				
956	2e-05				
957	0.00016				
958	0.0				
959	0.0				
960	0.0				
961	1e-05				
962	0.00012				
963	0.0				
964	0.0				
965	0.0002				
966	2e-05				
967	0.0				
968	0.00015				
969	0.0				
970	0.00012				
971	4e-05				
972	0.0				
973	3e-05				
974	6e-05				
975	0.00014000000000000001				
976	0.0				
977	0.0				
978	0.00033				
979	0.0				
980	0.0				
981	0.00032				
982	0.0				
983	0.0002				
984	0.00015				
985	0.0				
986	0.00016				
987	0.0001				
988	0.0				
989	2e-05				
990	0.0				
991	4e-05				
992	3e-05				
993	8.999999999999999e-05				
994	0.0				
995	7.000000000000001e-05				
996	3e-05				
997	0.0				
998	1e-05				
999	0.00015				
1000	5e-05				
1001	0.0				
1002	0.00010999999999999999				
1003	0.0				
1004	0.00021				
1005	4e-05				
1006	0.0				
1007	0.00021				
1008	4e-05				
1009	0.0				
1010	4e-05				
1011	0.00026				
1012	2e-05				
1013	1e-05				
1014	0.00012				
1015	0.0				
1016	4e-05				
1017	0.00014000000000000001				
1018	0.0				
1019	0.00033				
1020	0.00012				
1021	0.0				
1022	6e-05				
1023	0.0				
1024	6e-05				
1025	0.0				
1026	0.00013				
1027	2e-05				
1028	0.0001				
1029	0.0				
1030	0.0				
1031	0.00010999999999999999				
1032	4e-05				
1033	4e-05				
1034	0.00010999999999999999				
1035	0.00013				
1036	6e-05				
1037	0.0				
1038	0.00021				
1039	3e-05				
1040	0.0				
1041	0.00014000000000000001				
1042	0.00016				
1043	0.0				
1044	8e-05				
1045	0.0				
1046	0.0				
1047	0.00021999999999999998				
1048	0.0				
1049	0.00027				
1050	0.0002				
1051	0.0				
1052	0.00027				
1053	0.00017				
1054	0.00018999999999999998				
1055	0.00016				
1056	0.00021				
1057	0.0				
1058	0.00031				
1059	0.00023				
1060	0.0				
1061	0.0002				
1062	5e-05				
1063	0.0				
1064	0.00029				
1065	0.00017				
1066	6e-05				
1067	4e-05				
1068	6e-05				
1069	0.00018999999999999998				
1070	0.00025				
1071	0.0				
1072	4e-05				
1073	7.000000000000001e-05				
1074	2e-05				
1075	0.00013				
1076	0.00017999999999999998				
1077	0.0				
1078	0.00037999999999999997				
1079	0.00025				
1080	0.0				
1081	5e-05				
1082	0.0002				
1083	1e-05				
1084	5e-05				
1085	3e-05				
1086	0.00016				
1087	0.00013				
1088	0.0				
1089	0.00037999999999999997				
1090	0.0				
1091	0.0002				
1092	0.00017				
1093	0.0				
1094	0.00010999999999999999				
1095	0.00018999999999999998				
1096	3e-05				
1097	0.0001				
1098	0.00014000000000000001				
1099	6e-05				
1100	0.0				
