Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
451	0.9113899999999999	#838383	Omega	490-600DBDR Dichroic	XF2042/25.7*36
452	0.91408				
453	0.8561799999999999				
454	0.78813				
455	0.7171599999999999				
456	0.6917700000000001				
457	0.7194499999999999				
458	0.80212				
459	0.86882				
460	0.8499800000000001				
461	0.7464799999999999				
462	0.6281300000000001				
463	0.5151				
464	0.48575				
465	0.5276700000000001				
466	0.63875				
467	0.73004				
468	0.7326600000000001				
469	0.63124				
470	0.47855				
471	0.38813000000000003				
472	0.33458				
473	0.37138				
474	0.39401				
475	0.38277				
476	0.37022				
477	0.31842				
478	0.21128				
479	0.09534000000000001				
480	0.037000000000000005				
481	0.01949				
482	0.011319999999999998				
483	0.008409999999999999				
484	0.005829999999999999				
485	0.00458				
486	0.00381				
487	0.00316				
488	0.00311				
489	0.00311				
490	0.0028899999999999998				
491	0.0035099999999999997				
492	0.004050000000000001				
493	0.00466				
494	0.00529				
495	0.0067800000000000004				
496	0.01				
497	0.01497				
498	0.021640000000000003				
499	0.034769999999999995				
500	0.05112				
501	0.09016				
502	0.15356999999999998				
503	0.24562				
504	0.36127000000000004				
505	0.44773				
506	0.56828				
507	0.70829				
508	0.8191200000000001				
509	0.91425				
510	0.94687				
511	0.96465				
512	0.968				
513	0.96856				
514	0.96768				
515	0.96628				
516	0.96544				
517	0.96005				
518	0.95108				
519	0.93707				
520	0.92336				
521	0.9111				
522	0.9029				
523	0.90384				
524	0.91018				
525	0.92289				
526	0.9343300000000001				
527	0.94258				
528	0.9444899999999999				
529	0.93786				
530	0.92944				
531	0.9188299999999999				
532	0.9127200000000001				
533	0.91301				
534	0.91435				
535	0.91534				
536	0.90899				
537	0.89649				
538	0.8743000000000001				
539	0.84817				
540	0.82452				
541	0.8099599999999999				
542	0.80716				
543	0.8185899999999999				
544	0.84492				
545	0.884				
546	0.91104				
547	0.93594				
548	0.9304399999999999				
549	0.89286				
550	0.83596				
551	0.7644799999999999				
552	0.69699				
553	0.6552500000000001				
554	0.6254				
555	0.61708				
556	0.63448				
557	0.68435				
558	0.7585				
559	0.8231499999999999				
560	0.87971				
561	0.88182				
562	0.83002				
563	0.74803				
564	0.6537999999999999				
565	0.58462				
566	0.5162100000000001				
567	0.46936				
568	0.45445				
569	0.4789				
570	0.5477799999999999				
571	0.60894				
572	0.6252				
573	0.60256				
574	0.54644				
575	0.49171				
576	0.4473				
577	0.37675				
578	0.27936				
579	0.20046				
580	0.12415				
581	0.07559				
582	0.0526				
583	0.04063				
584	0.0292				
585	0.022639999999999997				
586	0.01775				
587	0.01518				
588	0.01375				
589	0.01077				
590	0.010360000000000001				
591	0.00918				
592	0.00819				
593	0.00731				
594	0.00632				
595	0.00815				
596	0.008110000000000001				
597	0.0085				
598	0.008159999999999999				
599	0.00823				
600	0.00888				
601	0.0096				
602	0.010069999999999999				
603	0.01262				
604	0.0143				
605	0.017079999999999998				
606	0.01973				
607	0.02319				
608	0.02874				
609	0.03495				
610	0.04437				
611	0.05526				
612	0.0736				
613	0.10132999999999999				
614	0.13694				
615	0.18072				
616	0.22449000000000002				
617	0.28562				
618	0.34976				
619	0.41406999999999994				
620	0.47555				
621	0.51359				
622	0.55308				
623	0.60771				
624	0.66443				
625	0.71939				
626	0.7685				
627	0.7956799999999999				
628	0.80925				
629	0.8110299999999999				
630	0.8081499999999999				
631	0.81036				
632	0.81734				
633	0.83167				
634	0.8499800000000001				
635	0.86907				
636	0.88393				
637	0.89872				
638	0.90995				
639	0.91375				
640	0.9100400000000001				
641	0.90348				
642	0.8967700000000001				
643	0.88658				
644	0.8803300000000001				
645	0.8730100000000001				
646	0.8780800000000001				
647	0.8825700000000001				
648	0.892				
649	0.89986				
650	0.9129600000000001				
651	0.92714				
652	0.9387399999999999				
653	0.94889				
654	0.95515				
655	0.95585				
656	0.95272				
657	0.9430200000000001				
658	0.9301699999999999				
659	0.9159999999999999				
660	0.9013				
661	0.88775				
662	0.87778				
663	0.87334				
664	0.8730800000000001				
665	0.8714799999999999				
666	0.87476				
667	0.88149				
668	0.8939900000000001				
669	0.9036799999999999				
670	0.91349				
671	0.9228400000000001				
672	0.93399				
673	0.9412699999999999				
674	0.9470999999999999				
675	0.9488500000000001				
676	0.9514499999999999				
677	0.94868				
678	0.94514				
679	0.94268				
680	0.9394899999999999				
681	0.9384999999999999				
682	0.9356399999999999				
683	0.93517				
684	0.93587				
685	0.9411799999999999				
686	0.94402				
687	0.9488800000000001				
688	0.94907				
689	0.95502				
690	0.9548000000000001				
691	0.9545				
692	0.9521299999999999				
693	0.9479900000000001				
694	0.9432200000000001				
695	0.93707				
696	0.9317799999999999				
697	0.9229900000000001				
698	0.91891				
699	0.9155500000000001				
700	0.91218				
701	0.9142600000000001				
702	0.91503				
703	0.91809				
704	0.92464				
705	0.93122				
706	0.93782				
707	0.9443				
708	0.95016				
709	0.95497				
710	0.9589799999999999				
711	0.95937				
712	0.9553				
713	0.9499599999999999				
714	0.9424800000000001				
715	0.93122				
716	0.92012				
717	0.91033				
718	0.9018200000000001				
719	0.89396				
720	0.88483				
721	0.8795099999999999				
722	0.87684				
723	0.87471				
724	0.87334				
725	0.8729300000000001				
726	0.87209				
727	0.87318				
728	0.87029				
729	0.86655				
730	0.86164				
731	0.85751				
732	0.8470300000000001				
733	0.8332299999999999				
734	0.8216899999999999				
735	0.80982				
736	0.79995				
737	0.78524				
738	0.77286				
739	0.76563				
740	0.75812				
741	0.7547				
742	0.7456900000000001				
743	0.7345099999999999				
744	0.7173900000000001				
745	0.6870999999999999				
746	0.6521899999999999				
747	0.6113000000000001				
748	0.56088				
749	0.5088900000000001				
750	0.44082				
