Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
351	0.17095	#838383	Omega	580DRLP Dichroic	XF2086/25.7*36
352	0.18928				
353	0.20479				
354	0.21907				
355	0.2323				
356	0.24413				
357	0.25056				
358	0.25032				
359	0.25367999999999996				
360	0.26411				
361	0.29427				
362	0.33142000000000005				
363	0.3506				
364	0.34127				
365	0.30692				
366	0.25405				
367	0.22308				
368	0.23063				
369	0.2569				
370	0.26483				
371	0.2667				
372	0.28894				
373	0.26664				
374	0.18780999999999998				
375	0.10334				
376	0.0546				
377	0.03041				
378	0.01922				
379	0.01349				
380	0.00976				
381	0.00733				
382	0.00599				
383	0.00586				
384	0.00584				
385	0.00525				
386	0.005560000000000001				
387	0.00657				
388	0.006520000000000001				
389	0.00715				
390	0.0091				
391	0.00982				
392	0.01246				
393	0.01566				
394	0.01981				
395	0.025009999999999998				
396	0.03342				
397	0.04378				
398	0.061020000000000005				
399	0.08467000000000001				
400	0.12359999999999999				
401	0.16689				
402	0.23907				
403	0.31436				
404	0.43603000000000003				
405	0.5503399999999999				
406	0.665				
407	0.80117				
408	0.86374				
409	0.8564700000000001				
410	0.82162				
411	0.8005				
412	0.80035				
413	0.82574				
414	0.86763				
415	0.92086				
416	0.94699				
417	0.9492400000000001				
418	0.92327				
419	0.86694				
420	0.81101				
421	0.7632599999999999				
422	0.7431399999999999				
423	0.73354				
424	0.74098				
425	0.76946				
426	0.80729				
427	0.85764				
428	0.9009699999999999				
429	0.94598				
430	0.96024				
431	0.9457800000000001				
432	0.91338				
433	0.8594499999999999				
434	0.80259				
435	0.76047				
436	0.72649				
437	0.7092700000000001				
438	0.7027				
439	0.7082999999999999				
440	0.7280800000000001				
441	0.7590399999999999				
442	0.8037399999999999				
443	0.84446				
444	0.8931999999999999				
445	0.92597				
446	0.9448399999999999				
447	0.93647				
448	0.91265				
449	0.8867				
450	0.8509				
451	0.82202				
452	0.80011				
453	0.7923699999999999				
454	0.7947299999999999				
455	0.80928				
456	0.8322400000000001				
457	0.86555				
458	0.8995000000000001				
459	0.92467				
460	0.92884				
461	0.9124				
462	0.8805299999999999				
463	0.82053				
464	0.75224				
465	0.70781				
466	0.66059				
467	0.62239				
468	0.58618				
469	0.56016				
470	0.54736				
471	0.54417				
472	0.5522699999999999				
473	0.5772200000000001				
474	0.61687				
475	0.68651				
476	0.75008				
477	0.8184600000000001				
478	0.8548300000000001				
479	0.8535699999999999				
480	0.8089700000000001				
481	0.75387				
482	0.68805				
483	0.6293				
484	0.56821				
485	0.51932				
486	0.45832				
487	0.40621				
488	0.37807999999999997				
489	0.34534				
490	0.32713000000000003				
491	0.31751				
492	0.32711				
493	0.35275				
494	0.42207				
495	0.48467				
496	0.52825				
497	0.51483				
498	0.46622				
499	0.40846				
500	0.38883				
501	0.40257				
502	0.43957999999999997				
503	0.46187				
504	0.44512				
505	0.40342				
506	0.31932				
507	0.23693				
508	0.17367000000000002				
509	0.12115000000000001				
510	0.0913				
511	0.06736				
512	0.05152999999999999				
513	0.04156				
514	0.0319				
515	0.02541				
516	0.021320000000000002				
517	0.017310000000000002				
518	0.01559				
519	0.013269999999999999				
520	0.01129				
521	0.0105				
522	0.00918				
523	0.00821				
524	0.00731				
525	0.00649				
526	0.00649				
527	0.00598				
528	0.0057399999999999994				
529	0.00592				
530	0.00511				
531	0.00477				
532	0.00459				
533	0.00451				
534	0.004050000000000001				
535	0.004030000000000001				
536	0.00395				
537	0.0042699999999999995				
538	0.0034999999999999996				
539	0.00373				
540	0.0038900000000000002				
541	0.00385				
542	0.00409				
543	0.00434				
544	0.0042				
545	0.0042699999999999995				
546	0.00441				
547	0.00577				
548	0.00527				
549	0.00528				
550	0.0074399999999999996				
551	0.006520000000000001				
552	0.00722				
553	0.00805				
554	0.00888				
555	0.010660000000000001				
