Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0	#838383	Omega	450QM60 Bandpass	XF3410/25
301	0.0				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.0				
309	1e-05				
310	0.0				
311	0.0				
312	0.0				
313	1e-05				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	1e-05				
319	0.0				
320	0.0				
321	1e-05				
322	1e-05				
323	0.0				
324	2e-05				
325	0.0				
326	1e-05				
327	0.0				
328	0.0				
329	1e-05				
330	0.0				
331	0.0				
332	0.0				
333	1e-05				
334	1e-05				
335	0.0				
336	0.0				
337	1e-05				
338	2e-05				
339	0.0				
340	2e-05				
341	1e-05				
342	0.0				
343	3e-05				
344	1e-05				
345	0.0				
346	0.0				
347	1e-05				
348	0.0				
349	0.0				
350	0.0				
351	0.0				
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	1e-05				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	1e-05				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	1e-05				
367	1e-05				
368	0.0				
369	1e-05				
370	4e-05				
371	1e-05				
372	0.0				
373	0.0				
374	2e-05				
375	2e-05				
376	0.0				
377	1e-05				
378	1e-05				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	2e-05				
384	0.0				
385	0.0				
386	3e-05				
387	2e-05				
388	2e-05				
389	1e-05				
390	4e-05				
391	0.0				
392	0.0				
393	3e-05				
394	0.0				
395	2e-05				
396	1e-05				
397	1e-05				
398	0.0				
399	1e-05				
400	1e-05				
401	4e-05				
402	2e-05				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	4e-05				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	3e-05				
414	0.00012				
415	0.00065				
416	0.00254				
417	0.0096				
418	0.045540000000000004				
419	0.15292				
420	0.38856				
421	0.69985				
422	0.80741				
423	0.87937				
424	0.94242				
425	0.95985				
426	0.96167				
427	0.9582299999999999				
428	0.9598099999999999				
429	0.9590000000000001				
430	0.96308				
431	0.96191				
432	0.94552				
433	0.9403400000000001				
434	0.95418				
435	0.96281				
436	0.95928				
437	0.95418				
438	0.94191				
439	0.9259999999999999				
440	0.9290600000000001				
441	0.9440000000000001				
442	0.94221				
443	0.935				
444	0.9354600000000001				
445	0.92967				
446	0.90836				
447	0.89667				
448	0.90979				
449	0.9321200000000001				
450	0.94774				
451	0.95288				
452	0.94217				
453	0.9230700000000001				
454	0.91886				
455	0.93768				
456	0.9556100000000001				
457	0.9577				
458	0.95458				
459	0.9568300000000001				
460	0.95368				
461	0.94258				
462	0.93855				
463	0.94786				
464	0.95414				
465	0.95088				
466	0.94827				
467	0.95789				
468	0.9664400000000001				
469	0.9695699999999999				
470	0.96622				
471	0.96363				
472	0.96324				
473	0.9647199999999999				
474	0.9657800000000001				
475	0.9590000000000001				
476	0.9457899999999999				
477	0.9354399999999999				
478	0.92364				
479	0.85962				
480	0.64803				
481	0.34073				
482	0.13570000000000002				
483	0.05343				
484	0.023479999999999997				
485	0.01187				
486	0.006540000000000001				
487	0.0037199999999999998				
488	0.00207				
489	0.0010199999999999999				
490	0.00043				
491	0.00018999999999999998				
492	7.000000000000001e-05				
493	8.999999999999999e-05				
494	0.0				
495	3e-05				
496	2e-05				
497	1e-05				
498	3e-05				
499	0.0				
500	3e-05				
501	3e-05				
502	1e-05				
503	2e-05				
504	3e-05				
505	1e-05				
506	0.0				
507	3e-05				
508	0.0				
509	1e-05				
510	1e-05				
511	5e-05				
512	4e-05				
513	2e-05				
514	5e-05				
515	5e-05				
516	0.0				
517	0.0				
518	0.0				
519	0.0				
520	5e-05				
521	3e-05				
522	3e-05				
523	0.0				
524	2e-05				
525	1e-05				
526	5e-05				
527	3e-05				
528	0.0				
529	0.0				
530	5e-05				
531	0.0				
532	2e-05				
533	5e-05				
534	2e-05				
535	3e-05				
536	1e-05				
537	5e-05				
538	1e-05				
539	3e-05				
540	5e-05				
541	2e-05				
542	1e-05				
543	3e-05				
544	0.0				
545	2e-05				
546	1e-05				
547	3e-05				
548	1e-05				
549	5e-05				
550	3e-05				
551	0.0				
552	0.0				
553	0.0				
554	1e-05				
555	7.000000000000001e-05				
556	2e-05				
557	0.0				
558	0.0				
559	4e-05				
560	3e-05				
561	2e-05				
562	0.0				
563	0.0				
564	0.0				
565	2e-05				
566	0.0				
567	0.0				
568	2e-05				
569	2e-05				
570	0.0				
571	2e-05				
572	0.0				
573	1e-05				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	4e-05				
579	0.0				
580	0.0				
581	0.0				
582	1e-05				
583	0.0				
584	0.0				
585	0.0				
586	4e-05				
587	0.0				
588	0.0				
589	3e-05				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	5e-05				
597	0.0				
598	2e-05				
599	6e-05				
600	1e-05				
601	4e-05				
602	0.0				
603	1e-05				
604	1e-05				
605	0.0				
606	0.0				
607	0.0				
608	2e-05				
609	4e-05				
610	1e-05				
611	0.0				
612	1e-05				
613	1e-05				
614	4e-05				
615	0.0				
616	5e-05				
617	4e-05				
618	3e-05				
619	0.0				
620	0.0				
621	7.000000000000001e-05				
622	1e-05				
623	5e-05				
624	0.0				
625	1e-05				
626	0.0				
627	3e-05				
628	2e-05				
629	1e-05				
630	3e-05				
631	1e-05				
632	4e-05				
633	1e-05				
634	6e-05				
635	4e-05				
636	0.0				
637	4e-05				
638	0.0				
639	2e-05				
640	5e-05				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	1e-05				
646	0.0				
647	2e-05				
648	0.0				
649	0.0				
650	3e-05				
651	0.0				
652	5e-05				
653	5e-05				
654	1e-05				
655	4e-05				
656	3e-05				
657	4e-05				
658	0.0				
659	1e-05				
660	1e-05				
661	7.000000000000001e-05				
662	3e-05				
663	0.0				
664	4e-05				
665	0.0				
666	1e-05				
667	3e-05				
668	0.0				
669	0.0				
670	4e-05				
671	2e-05				
672	1e-05				
673	1e-05				
674	0.0				
675	2e-05				
676	2e-05				
677	0.0				
678	2e-05				
679	1e-05				
680	0.0				
681	3e-05				
682	1e-05				
683	0.0				
684	2e-05				
685	0.0				
686	1e-05				
687	4e-05				
688	0.0				
689	0.0				
690	0.0				
691	3e-05				
692	0.0				
693	1e-05				
694	3e-05				
695	0.0				
696	1e-05				
697	0.0				
698	0.0				
699	4e-05				
700	3e-05				
701	0.0				
702	2e-05				
703	0.0				
704	1e-05				
705	3e-05				
706	2e-05				
707	3e-05				
708	0.0				
709	3e-05				
710	0.0				
711	1e-05				
712	0.0				
713	1e-05				
714	1e-05				
715	3e-05				
716	0.0				
717	0.0				
718	0.0				
719	5e-05				
720	2e-05				
721	0.0				
722	0.0				
723	5e-05				
724	5e-05				
725	0.0				
726	0.0				
727	0.0				
728	1e-05				
729	1e-05				
730	0.0				
731	0.0				
732	0.0				
733	0.0				
734	2e-05				
735	2e-05				
736	0.0				
737	0.0				
738	5e-05				
739	1e-05				
740	0.0				
741	0.0				
742	1e-05				
743	3e-05				
744	0.0				
745	0.0				
746	0.0				
747	3e-05				
748	0.0				
749	0.0				
750	3e-05				
751	0.0				
752	5e-05				
753	3e-05				
754	0.0				
755	0.0				
756	2e-05				
757	0.0				
758	1e-05				
759	1e-05				
760	0.0				
761	0.0				
762	3e-05				
763	2e-05				
764	4e-05				
765	1e-05				
766	0.0				
767	1e-05				
768	0.0				
769	0.0				
770	2e-05				
771	6e-05				
772	0.0				
773	0.0				
774	0.0				
775	0.0				
776	0.0				
777	2e-05				
778	4e-05				
779	0.0				
780	0.0				
781	0.0				
782	0.0				
783	0.0				
784	0.0				
785	1e-05				
786	3e-05				
787	3e-05				
788	0.0				
789	1e-05				
790	2e-05				
791	0.0				
792	0.0				
793	0.0				
794	0.0				
795	0.0				
796	0.0				
797	1e-05				
798	1e-05				
799	0.0				
800	1e-05				
801	3e-05				
802	0.0				
803	0.0				
804	0.0				
805	0.0				
806	2e-05				
807	2e-05				
808	0.0				
809	3e-05				
810	1e-05				
811	0.0				
812	0.0				
813	4e-05				
814	0.0				
815	0.0				
816	1e-05				
817	2e-05				
818	0.0				
819	2e-05				
820	0.0				
821	1e-05				
822	0.0				
823	2e-05				
824	0.0				
825	0.0				
826	0.0				
827	0.0				
828	1e-05				
829	0.0				
830	0.0				
831	0.0				
832	5e-05				
833	5e-05				
834	1e-05				
835	2e-05				
836	0.0				
837	0.0				
838	0.0				
839	1e-05				
840	0.0				
841	0.0				
842	0.0				
843	3e-05				
844	0.0				
