Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	3e-05	#838383	Omega	SDSS g' Bandpass	XSDSS/G/50R
301	3e-05				
302	3e-05				
303	3e-05				
304	3e-05				
305	2e-05				
306	3e-05				
307	5e-05				
308	4e-05				
309	3e-05				
310	4e-05				
311	4e-05				
312	5e-05				
313	4e-05				
314	3e-05				
315	3e-05				
316	5e-05				
317	4e-05				
318	3e-05				
319	4e-05				
320	4e-05				
321	3e-05				
322	3e-05				
323	3e-05				
324	2e-05				
325	3e-05				
326	3e-05				
327	3e-05				
328	4e-05				
329	3e-05				
330	3e-05				
331	4e-05				
332	5e-05				
333	4e-05				
334	4e-05				
335	5e-05				
336	5e-05				
337	4e-05				
338	6e-05				
339	5e-05				
340	5e-05				
341	6e-05				
342	6e-05				
343	6e-05				
344	6e-05				
345	6e-05				
346	7.000000000000001e-05				
347	7.000000000000001e-05				
348	8e-05				
349	4e-05				
350	6e-05				
351	6e-05				
352	6e-05				
353	6e-05				
354	8e-05				
355	6e-05				
356	8e-05				
357	7.000000000000001e-05				
358	6e-05				
359	8e-05				
360	8e-05				
361	7.000000000000001e-05				
362	8e-05				
363	8e-05				
364	8e-05				
365	6e-05				
366	8e-05				
367	8e-05				
368	8e-05				
369	8e-05				
370	7.000000000000001e-05				
371	8e-05				
372	8.999999999999999e-05				
373	8.999999999999999e-05				
374	8.999999999999999e-05				
375	8.999999999999999e-05				
376	8e-05				
377	8.999999999999999e-05				
378	0.0001				
379	8.999999999999999e-05				
380	8.999999999999999e-05				
381	8e-05				
382	8.999999999999999e-05				
383	8.999999999999999e-05				
384	8.999999999999999e-05				
385	7.000000000000001e-05				
386	0.0001				
387	0.00010999999999999999				
388	0.00014000000000000001				
389	0.00023				
390	0.00046				
391	0.00108				
392	0.00292				
393	0.0073				
394	0.013999999999999999				
395	0.02174				
396	0.03336				
397	0.0555				
398	0.09308999999999999				
399	0.12984				
400	0.14119				
401	0.14294				
402	0.16091999999999998				
403	0.20407				
404	0.25586				
405	0.27388				
406	0.25484				
407	0.24338				
408	0.26409				
409	0.31754				
410	0.37073999999999996				
411	0.37621000000000004				
412	0.34508000000000005				
413	0.32658000000000004				
414	0.3429				
415	0.3865				
416	0.42402				
417	0.42149000000000003				
418	0.39192				
419	0.37383000000000005				
420	0.38468				
421	0.41798				
422	0.44670000000000004				
423	0.44284				
424	0.41375999999999996				
425	0.38988				
426	0.39104				
427	0.41734000000000004				
428	0.45218				
429	0.46665				
430	0.4482				
431	0.41735999999999995				
432	0.4003				
433	0.40836				
434	0.43878999999999996				
435	0.47482				
436	0.49142				
437	0.47906				
438	0.45374000000000003				
439	0.43851				
440	0.44372999999999996				
441	0.46630000000000005				
442	0.49243000000000003				
443	0.5022800000000001				
444	0.48888				
445	0.46404				
446	0.44594				
447	0.4451				
448	0.4618				
449	0.48774999999999996				
450	0.50707				
451	0.50744				
452	0.49057				
453	0.47008000000000005				
454	0.45918				
455	0.46325000000000005				
456	0.47988				
457	0.50058				
458	0.51219				
459	0.50838				
460	0.49251				
461	0.47531999999999996				
462	0.4667				
463	0.47006				
464	0.48362				
465	0.5008400000000001				
466	0.51296				
467	0.51432				
468	0.50611				
469	0.49456000000000006				
470	0.48691				
471	0.48722				
472	0.49471				
473	0.50628				
474	0.5160399999999999				
475	0.51934				
476	0.5159400000000001				
477	0.50887				
478	0.50253				
479	0.50078				
480	0.50378				
481	0.50989				
482	0.51629				
483	0.51855				
484	0.51606				
485	0.51008				
486	0.50327				
487	0.49895				
488	0.49849				
489	0.50201				
490	0.5076700000000001				
491	0.51315				
492	0.51601				
493	0.51576				
494	0.51312				
495	0.50973				
496	0.50751				
497	0.50695				
498	0.50817				
499	0.51038				
500	0.5121600000000001				
501	0.51281				
502	0.5121				
503	0.5104				
504	0.50898				
505	0.5086200000000001				
506	0.5092300000000001				
507	0.51075				
508	0.51191				
509	0.51217				
510	0.51101				
511	0.50851				
512	0.5053				
513	0.50243				
514	0.50051				
515	0.49953000000000003				
516	0.49965000000000004				
517	0.49977				
518	0.49955				
519	0.49863				
520	0.49698				
521	0.49481				
522	0.49298000000000003				
523	0.49194000000000004				
524	0.49194000000000004				
525	0.49238				
526	0.49309				
527	0.4935				
528	0.49273000000000006				
529	0.49097999999999997				
530	0.4885				
531	0.48566000000000004				
532	0.48308999999999996				
533	0.48087				
534	0.47948				
535	0.4779				
536	0.47655000000000003				
537	0.47454999999999997				
538	0.47208				
539	0.46899				
540	0.46537				
541	0.46212000000000003				
542	0.45863				
543	0.45579000000000003				
544	0.45338				
545	0.45093000000000005				
546	0.44813000000000003				
547	0.44522				
548	0.44104				
549	0.43579				
550	0.43030999999999997				
551	0.42503				
552	0.4203				
553	0.41362000000000004				
554	0.4007				
555	0.37786000000000003				
556	0.34639000000000003				
557	0.31473				
558	0.29021				
559	0.2577				
560	0.17357				
561	0.06958				
562	0.01936				
563	0.00513				
564	0.0015				
565	0.0005				
566	0.0002				
567	0.0001				
568	5e-05				
569	6e-05				
570	5e-05				
571	5e-05				
572	2e-05				
573	4e-05				
574	4e-05				
575	3e-05				
576	3e-05				
577	4e-05				
578	4e-05				
579	4e-05				
580	4e-05				
581	3e-05				
582	3e-05				
583	4e-05				
584	3e-05				
585	3e-05				
586	5e-05				
587	4e-05				
588	4e-05				
589	4e-05				
590	4e-05				
591	4e-05				
592	3e-05				
593	4e-05				
594	3e-05				
595	3e-05				
596	3e-05				
597	5e-05				
598	3e-05				
599	3e-05				
600	4e-05				
601	3e-05				
602	3e-05				
603	4e-05				
604	4e-05				
605	5e-05				
606	4e-05				
607	3e-05				
608	4e-05				
609	3e-05				
610	4e-05				
611	5e-05				
612	2e-05				
613	4e-05				
614	3e-05				
615	3e-05				
616	3e-05				
617	4e-05				
