Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
330	0.026389999999999997	#101cd7	Nantong Foric	Aerochrome	QB19
335	0.06083				
340	0.09960000000000001				
345	0.14149				
350	0.18758				
355	0.24109000000000003				
360	0.30797				
365	0.39496000000000003				
370	0.47079				
375	0.53474				
380	0.58941				
385	0.63603				
390	0.6755200000000001				
395	0.71042				
400	0.73976				
405	0.76345				
410	0.78318				
415	0.80026				
420	0.81147				
425	0.81958				
430	0.8277				
435	0.8288599999999999				
440	0.82755				
445	0.82625				
450	0.82342				
455	0.81336				
460	0.80329				
465	0.78899				
470	0.7688200000000001				
475	0.73968				
480	0.69923				
485	0.6316700000000001				
490	0.54152				
495	0.49197				
500	0.45297				
505	0.41865				
510	0.38649				
515	0.35656999999999994				
520	0.33031999999999995				
525	0.30528				
530	0.28162				
535	0.26030000000000003				
540	0.24069				
545	0.22195				
550	0.20419				
555	0.18728				
560	0.17265				
565	0.15804				
570	0.14608000000000002				
575	0.13412000000000002				
580	0.12289				
585	0.11381000000000001				
590	0.10474				
595	0.09569000000000001				
600	0.08949				
605	0.0833				
610	0.0771				
615	0.0723				
620	0.06926				
625	0.06621				
630	0.06316				
635	0.06242				
640	0.062				
645	0.06157				
650	0.06192				
655	0.06393				
660	0.06595				
665	0.06796				
670	0.07186				
675	0.07637				
680	0.08089				
685	0.08582000000000001				
690	0.09258				
695	0.09933				
700	0.10609				
705	0.11474999999999999				
710	0.12455999999999999				
715	0.13438				
720	0.15071				
725	0.16978000000000001				
730	0.30469				
735	0.74006				
740	0.78602				
745	0.81702				
750	0.84036				
755	0.85563				
760	0.86804				
765	0.88044				
770	0.8855				
775	0.89042				
780	0.89535				
785	0.89827				
790	0.8984000000000001				
795	0.89852				
800	0.89865				
805	0.8978700000000001				
810	0.89685				
815	0.89583				
820	0.8946200000000001				
825	0.8926999999999999				
830	0.89078				
835	0.88886				
840	0.8864799999999999				
845	0.88387				
850	0.88125				
855	0.8785				
860	0.87504				
865	0.8715900000000001				
870	0.8681300000000001				
875	0.8645900000000001				
880	0.8608199999999999				
885	0.85706				
890	0.8532899999999999				
895	0.85024				
900	0.84741				
905	0.84458				
910	0.84194				
915	0.8400700000000001				
920	0.8382				
925	0.8363299999999999				
930	0.8347100000000001				
935	0.83325				
940	0.83179				
945	0.83033				
950	0.8292				
955	0.82809				
960	0.82697				
965	0.82503				
970	0.82223				
975	0.8194199999999999				
980	0.8166100000000001				
985	0.8122				
990	0.80593				
995	0.7996599999999999				
1000	0.79339				
1005	0.7844199999999999				
1010	0.77544				
1015	0.76645				
1020	0.7557200000000001				
1025	0.7426699999999999				
1030	0.72962				
1035	0.70892				
1040	0.68853				
1045	0.66919				
1050	0.65083				
1055	0.63312				
1060	0.61724				
1065	0.60177				
1070	0.58811				
1075	0.5752				
1080	0.56311				
1085	0.55315				
1090	0.5431900000000001				
1095	0.53394				
1100	0.52752				
