Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	0.00077	#3fd0e0	Tangsinuo	QB21-2mm AR	0
210	0.0008100000000000001				
215	0.00082				
220	0.00082				
225	0.00082				
230	0.00082				
235	0.00082				
240	0.00082				
245	0.00082				
250	0.00082				
255	0.00082				
260	0.00082				
265	0.00082				
270	0.00082				
275	0.00082				
280	0.00082				
285	0.00082				
290	0.00082				
295	0.00082				
300	0.00178				
305	0.0060999999999999995				
310	0.02323				
315	0.06699				
320	0.14922000000000002				
325	0.24488				
330	0.35318				
335	0.45427999999999996				
340	0.53634				
345	0.61399				
350	0.6722100000000001				
355	0.72003				
360	0.76034				
365	0.7942				
370	0.82057				
375	0.843				
380	0.86598				
385	0.8862399999999999				
390	0.90335				
395	0.91825				
400	0.9305500000000001				
405	0.9408799999999999				
410	0.94884				
415	0.95557				
420	0.9612099999999999				
425	0.96572				
430	0.97055				
435	0.97399				
440	0.9762000000000001				
445	0.97756				
450	0.97827				
455	0.9788899999999999				
460	0.9793000000000001				
465	0.9793000000000001				
470	0.97922				
475	0.97896				
480	0.9785699999999999				
485	0.9780500000000001				
490	0.97737				
495	0.9769				
500	0.97615				
505	0.9747499999999999				
510	0.97347				
515	0.9714700000000001				
520	0.96878				
525	0.96541				
530	0.96116				
535	0.95553				
540	0.94851				
545	0.9399				
550	0.92818				
555	0.915				
560	0.90015				
565	0.8831699999999999				
570	0.8621599999999999				
575	0.8391				
580	0.81427				
585	0.78524				
590	0.7547				
595	0.7213299999999999				
600	0.68556				
605	0.64875				
610	0.60864				
615	0.56897				
620	0.5279699999999999				
625	0.48573				
630	0.44388				
635	0.40276				
640	0.36465000000000003				
645	0.32569000000000004				
650	0.29029				
655	0.25636				
660	0.22399999999999998				
665	0.19466999999999998				
670	0.16677				
675	0.14276999999999998				
680	0.12041				
685	0.10149				
690	0.08432				
695	0.06973				
700	0.05716				
705	0.04657				
710	0.03812				
715	0.030899999999999997				
720	0.024780000000000003				
725	0.01985				
730	0.015700000000000002				
735	0.01238				
740	0.00976				
745	0.0076300000000000005				
750	0.00599				
755	0.00464				
760	0.0035499999999999998				
765	0.0027				
770	0.0018599999999999999				
775	0.0012				
780	0.00082				
785	0.00082				
790	0.00082				
795	0.00082				
800	0.00082				
805	0.00082				
810	0.00082				
815	0.00082				
820	0.00082				
825	0.00082				
830	0.00082				
835	0.00082				
840	0.00082				
845	0.00082				
850	0.00082				
855	0.00082				
860	0.00082				
865	0.00082				
870	0.00082				
875	0.00082				
880	0.00082				
885	0.00082				
890	0.00082				
895	0.00082				
900	0.00082				
905	0.00082				
910	0.00082				
915	0.00082				
920	0.00082				
925	0.00082				
930	0.00082				
935	0.00082				
940	0.00082				
945	0.00082				
950	0.00082				
955	0.00082				
960	0.00082				
965	0.00082				
970	0.00082				
975	0.00082				
980	0.00082				
985	0.00082				
990	0.00082				
995	0.00082				
1000	0.00082				
1005	0.00082				
1010	0.00082				
1015	0.00082				
1020	0.00082				
1025	0.00082				
1030	0.00082				
1035	0.00082				
1040	0.00082				
1045	0.00082				
1050	0.00082				
1055	0.00082				
1060	0.00082				
1065	0.00082				
1070	0.00082				
1075	0.00082				
1080	0.00082				
1085	0.00082				
1090	0.00082				
1095	0.00077				
1100	0.00026				
